Targeting ID,Name,Parent
6003030029655,Chinese cuisine,Food and drink
6003108826384,Music festivals,Entertainment
6003280676501,GPS devices,Technology
6003304473660,SUVs,Hobbies and activities
6002926108721,Vacations,Hobbies and activities
6003106813190,Hunting,Sports and outdoors
6003289911338,Smartphones,Technology
6003306415421,Greek cuisine,Food and drink
6003306084421,Yoga,Fitness and wellness
6002985584323,Outdoor recreation,Sports and outdoors
6003582732907,Rock music,Entertainment
6003703931713,Juice,Food and drink
6003985771306,Technology,Technology
6003132926214,Furniture,Hobbies and activities
6003649983713,Design,Business and industry
6003290811111,Current events,Hobbies and activities
6002998517244,Camcorders,Technology
6002929380259,Volleyball,Sports and outdoors
6003125064949,Electric vehicle,Hobbies and activities
6003020834693,Music,Entertainment
6003351312828,Musical theatre,Entertainment
6003254590688,Spas,Shopping and fashion
6002960574320,Tablet computers,Technology
6003361714600,Nightclubs,Entertainment
6003431201869,Beaches,Hobbies and activities
6003172448161,TV talkshows,Entertainment
6003070122382,Toys,Shopping and fashion
6003584163107,Advertising,Business and industry
6003105618835,Crafts,Hobbies and activities
6003053056644,Gardening,Hobbies and activities
6003101323797,Fatherhood,Family and relationships
6003194056672,Fine art,Hobbies and activities
6002971085794,Mobile phones,Technology
6003012185129,Meditation,Fitness and wellness
6003025268985,Tattoos,Shopping and fashion
6002984573619,Surfing,Sports and outdoors
6003297396138,Banking,Business and industry
6003274262708,Fiction books,Entertainment
6003395414271,Construction,Business and industry
6003586608473,Writing,Hobbies and activities
6003143720966,Personal finance,Business and industry
6004037107009,Boats,Hobbies and activities
6003943667466,Game consoles,Technology
6003430600057,Lakes,Hobbies and activities
6003290005325,Web development,Business and industry
6003349442621,Entertainment,Entertainment
6003257757682,Blues music,Entertainment
6003327856180,Dieting,Fitness and wellness
6003656112304,Economics,Business and industry
6003493980595,Country music,Entertainment
6003062205328,Retail banking,Business and industry
6003269553527,Sports,Sports and outdoors
6003127206524,Digital marketing,Business and industry
6002951587955,Classical music,Entertainment
6003141785766,Mortgage loans,Business and industry
6003380576181,Role-playing games,Entertainment
6003443805331,Fragrances,Shopping and fashion
6003088846792,Beauty salons,Shopping and fashion
6003120620858,Coffeehouses,Food and drink
6002920953955,Interior design,Business and industry
6003090714101,Car rentals,Hobbies and activities
6003225325061,Thriller movies,Entertainment
6003179515414,Dance music,Entertainment
6003240742699,Seafood,Food and drink
6003343997689,Home Appliances,Hobbies and activities
6002867432822,Beauty,Shopping and fashion
6003349175527,Computer memory,Technology
6003415393053,Children's clothing,Shopping and fashion
6003346592981,Online shopping,Shopping and fashion
6003409043877,Alcoholic beverages,Food and drink
6003134986700,Baking,Food and drink
6003464109203,Health care,Business and industry
6003054884732,Coupons,Shopping and fashion
6007828099136,Luxury goods,Shopping and fashion
6003255640088,Sunglasses,Shopping and fashion
6003102729234,Italian cuisine,Food and drink
6011994253127,Men's clothing,Shopping and fashion
6003387633593,Drums,Hobbies and activities
6003157824284,Bollywood movies,Entertainment
6003629266583,Hard drives,Technology
6003305361460,TV comedies,Entertainment
6003780025252,Drawing,Hobbies and activities
6003083357650,Manga,Entertainment
6002964500317,Word games,Entertainment
6003063638807,Investment banking,Business and industry
6011515350975,Politics and social issues,Hobbies and activities
6002970406974,Concerts,Entertainment
6003840140052,Agriculture,Business and industry
6003656063078,Nursing,Business and industry
6002957026250,Theatre,Entertainment
6003243058188,Diners,Food and drink
6003902397066,Electronic music,Entertainment
6003392512725,Energy drinks,Food and drink
6003159378782,Cats,Hobbies and activities
6003436950375,Restaurants,Food and drink
6003070856229,Games,Entertainment
6003178374133,Fantasy movies,Entertainment
6003385141743,Racing games,Entertainment
6003780008652,Online,Business and industry
6003369521274,Zumba,Fitness and wellness
6003207605030,Minivans,Hobbies and activities
6003491283786,Tea,Food and drink
6003155333705,Vegetarianism,Food and drink
6003133978408,Chocolate,Food and drink
6003122958658,Boating,Sports and outdoors
6002839660079,Cosmetics,Shopping and fashion
6003225930699,Cruises,Hobbies and activities
6003288647527,Projectors,Technology
6003369240775,Basketball,Sports and outdoors
6003729124262,Audio equipment,Technology
6003353550130,Motorcycles,Hobbies and activities
6003092330156,Mountain biking,Sports and outdoors
6002991736368,Reading,Entertainment
6003116038942,Computer monitors,Technology
6002998078382,Military,Hobbies and activities
6003902462066,Theme parks,Hobbies and activities
6004037400009,Fast food,Food and drink
6003446055283,Scooters,Hobbies and activities
6003277229371,Physical fitness,Fitness and wellness
6002991239659,Motherhood,Family and relationships
6003076016339,Email marketing,Business and industry
6003266266843,Fashion design,Business and industry
6003092882217,Trucks,Hobbies and activities
6002963523717,Aviation,Business and industry
6003375422677,Drama movies,Entertainment
6003456330903,Hair products,Shopping and fashion
6003510075864,Golf,Sports and outdoors
6005609368513,Software,Technology
6003247890613,Dancehalls,Entertainment
6003146729229,Distilled beverage,Food and drink
6002997799844,Singing,Hobbies and activities
6003420024431,French cuisine,Food and drink
6003198476967,Handbags,Shopping and fashion
6002964239317,Mexican cuisine,Food and drink
6003198851865,Dating,Family and relationships
6003270811593,Higher education,Business and industry
6003232518610,Parenting,Family and relationships
6003351764757,Triathlons,Sports and outdoors
6003151951349,Computer servers,Technology
6003096002658,Graphic design,Business and industry
6003540150873,Sports games,Entertainment
6010924093432,Live events,Entertainment
6003107699532,Soul music,Entertainment
6003343485089,Korean cuisine,Food and drink
6003390752144,Shopping malls,Shopping and fashion
6003146718552,Auto racing,Sports and outdoors
6003220634758,Discount stores,Shopping and fashion
6003286289697,Birds,Hobbies and activities
6003359996821,Nature,Hobbies and activities
6004140335706,Architecture,Business and industry
6011366104268,Women's clothing,Shopping and fashion
6003279598823,Marketing,Business and industry
6003211401886,Air travel,Hobbies and activities
6003154043305,Performing arts,Hobbies and activities
6003108649035,Spanish cuisine,Food and drink
6009422452499,Home and garden,Hobbies and activities
6003029869785,Arts and music,Hobbies and activities
6003302121228,Guitar,Hobbies and activities
6003074954515,Sales,Business and industry
6003716669862,Consumer electronics,Technology
6003471508663,Shooter games,Entertainment
6003409392877,Weddings,Family and relationships
6003346311730,Vietnamese cuisine,Food and drink
6003148544265,Wine,Food and drink
6003162931434,College football,Sports and outdoors
6003578086487,Real estate,Business and industry
6003159413034,Fish,Hobbies and activities
6003572379887,Hotels,Hobbies and activities
6003654559478,Politics,Hobbies and activities
6004037932409,Management,Business and industry
6003137105590,Volunteering,Hobbies and activities
6003064649070,Mountains,Hobbies and activities
6003626773307,Coffee,Food and drink
6003324917336,Nutrition,Fitness and wellness
6003283801502,Thai cuisine,Food and drink
6003423342191,Dance,Hobbies and activities
6003481391264,Display advertising,Business and industry
6003172273055,Sustainability,Hobbies and activities
6002971095994,Action games,Entertainment
6003417378239,Plays,Entertainment
6003402305839,Business,Business and industry
6003494675627,Indian cuisine,Food and drink
6003397496347,Running,Fitness and wellness
6003210799924,Romance novels,Entertainment
6003266225248,Jewelry,Shopping and fashion
6003899195666,Photography,Hobbies and activities
6003648059946,Bodybuilding,Fitness and wellness
6003647522546,Card games,Entertainment
6003659420716,Cooking,Food and drink
6003341579196,Pop music,Entertainment
6003342470823,Board games,Entertainment
6003133486214,Vehicles,Hobbies and activities
6003059385128,Ecotourism,Hobbies and activities
6003348604581,Fashion accessories,Shopping and fashion
6003371567474,Entrepreneurship,Business and industry
6003103108917,Boutiques,Shopping and fashion
6003717914546,Hybrids,Hobbies and activities
6003012461997,Beer,Food and drink
6003071094715,Gospel music,Entertainment
6003166397215,Swimming,Sports and outdoors
6003243604899,Action movies,Entertainment
6003376089674,American football,Sports and outdoors
6003139266461,Movies,Entertainment
6003461162225,Pet food,Hobbies and activities
6003049202156,Community issues,Hobbies and activities
6003703762913,Law,Hobbies and activities
6004037726009,Pets,Hobbies and activities
6003263791114,Shopping,Shopping and fashion
6003434373937,Browser games,Entertainment
6003656296104,Network storage,Technology
6003445506042,Marriage,Family and relationships
6003526234370,Online advertising,Business and industry
6002936693259,Soft drinks,Food and drink
6003430696269,Tourism,Hobbies and activities
6003656922020,Horror movies,Entertainment
6003299204611,Beverages,Food and drink
6003435096731,Barbecue,Food and drink
6003324287371,Skiing,Sports and outdoors
6003224441249,Televisions,Technology
6002998123892,Japanese cuisine,Food and drink
6003266061909,Food,Food and drink
6002925538921,Acting,Hobbies and activities
6003397425735,Tennis,Sports and outdoors
6003404634364,Computers,Technology
6003466585319,Online banking,Business and industry
6003387418453,Web hosting,Business and industry
6003234413249,Home improvement,Hobbies and activities
6003252179711,Engineering,Business and industry
6003126215349,Comics,Entertainment
6003512053894,Snowboarding,Sports and outdoors
6004030160948,Social media,Business and industry
6003373175581,Documentary movies,Entertainment
6008832464480,E-book readers,Technology
6003248338072,Casino games,Entertainment
6003332344237,Dogs,Hobbies and activities
6003012317397,Gambling,Entertainment
6003115804542,Desktop computers,Technology
6002866718622,Science,Business and industry
6003420644631,Non-fiction books,Entertainment
6003717247746,Sculpture,Hobbies and activities
6003385609165,Recipes,Food and drink
6003332483177,Music videos,Entertainment
6003395353671,Religion,Hobbies and activities
6003473077165,Weight training,Fitness and wellness
6003388314512,Investment,Business and industry
6003161475030,Comedy movies,Entertainment
6004094205989,German cuisine,Food and drink
6004043913548,Newspapers,Entertainment
6003176678152,Automobiles,Hobbies and activities
6004115167424,Physical exercise,Fitness and wellness
6003195797498,Cuisine,Food and drink
6004160395895,Travel,Hobbies and activities
6003142974961,Painting,Hobbies and activities
6003582500438,Strategy games,Entertainment
6003348662930,Camping,Sports and outdoors
6003779859852,Horseback riding,Sports and outdoors
6003605717820,Anime movies,Entertainment
6002884511422,Small business,Business and industry
6003476182657,Family,Family and relationships
6003074487739,E-books,Entertainment
6003423416540,Free software,Technology
6002868910910,Organic food,Food and drink
6002979499920,Fishing,Sports and outdoors
6003940339466,Video games,Entertainment
6002986104968,Mystery fiction,Entertainment
6003641846820,Veganism,Food and drink
6003153672865,Online games,Entertainment
6003172932634,TV,Entertainment
6003206216430,Magazines,Entertainment
6003188355978,Dresses,Shopping and fashion
6003030519207,Online poker,Entertainment
6003247790075,Literature,Entertainment
6003970975896,Environmentalism,Hobbies and activities
6003382151137,Reptiles,Hobbies and activities
6003462707303,Books,Entertainment
6003280740901,Veterans,Hobbies and activities
6003087413192,Baseball,Sports and outdoors
6003129926917,Animated movies,Entertainment
6003416777039,Horses,Hobbies and activities
6003778400853,Retail,Business and industry
6003142705949,Computer processors,Technology
6003217093576,Insurance,Business and industry
6003108411433,Rabbits,Hobbies and activities
6003325186571,Cameras,Technology
6003424404140,Marathons,Sports and outdoors
6004100985609,Friendship,Family and relationships
6003125948045,Desserts,Food and drink
6003156321008,Bars,Entertainment
6003147868152,Parties,Entertainment
6003348453981,Shoes,Shopping and fashion
6003369782940,Credit cards,Business and industry
6003246168013,Simulation games,Entertainment
6003247127613,Ballet,Entertainment
6003394580331,RVs,Hobbies and activities
6002868021822,Adventure travel,Hobbies and activities
6003509171264,Hiking,Sports and outdoors
6003402518839,Web design,Business and industry
6003146442552,Jazz music,Entertainment
6003668857118,Pizza,Food and drink
6003355530237,Gyms,Fitness and wellness
6003456388203,Clothing,Shopping and fashion
