politician,label
http://dbpedia.org/resource/Manish_Sisodia,Manish Sisodia
http://dbpedia.org/resource/Arvind_Kejriwal,Arvind Kejriwal
http://dbpedia.org/resource/Raghu_Ram,Raghu Ram
http://dbpedia.org/resource/Yogendra_Yadav,Yogendra Yadav
http://dbpedia.org/resource/Javed_Jaffrey,Javed Jaffrey
http://dbpedia.org/resource/Jarnail_Singh_(born_1973),Jarnail Singh
http://dbpedia.org/resource/Jarnail_Singh_(born_1981),Jarnail Singh
http://dbpedia.org/resource/Vinod_Kumar_Binny,Vinod Kumar Binny
http://dbpedia.org/resource/Kanu_Kalsaria,Kanu Kalsaria
http://dbpedia.org/resource/Maruti_Bhapkar,Maruti Bhapkar
http://dbpedia.org/resource/Habung_Payeng,Habung Payeng
http://dbpedia.org/resource/Lingaraj_(social_activist),Lingaraj
http://dbpedia.org/resource/Mayank_Gandhi,Mayank Gandhi
http://dbpedia.org/resource/Nina_Nayak,Nina Nayak
http://dbpedia.org/resource/Prakash_Jarwal,Prakash Jarwal
http://dbpedia.org/resource/Rachna_Dhingra,Rachna Dhingra
http://dbpedia.org/resource/Raju_Dhingan,Raju Dhingan
http://dbpedia.org/resource/Rakhi_Birla,Rakhi Birla
http://dbpedia.org/resource/Sanjeev_Jha,Sanjeev Jha
http://dbpedia.org/resource/Satyendra_Kumar_Jain,Satyendra Kumar Jain
http://dbpedia.org/resource/Ajay_Dutt,Ajay Dutt
http://dbpedia.org/resource/Ajesh_Yadav,Ajesh Yadav
http://dbpedia.org/resource/Amanatullah_Khan,Amanatullah Khan
http://dbpedia.org/resource/Anil_Kumar_Bajpai,Anil Kumar Bajpai
http://dbpedia.org/resource/Asim_Ahmed_Khan,Asim Ahmed Khan
http://dbpedia.org/resource/Atishi_Marlena,Atishi Marlena
http://dbpedia.org/resource/Avtar_Singh_(politician),Avtar Singh
http://dbpedia.org/resource/Bhavna_Gaur,Bhavna Gaur
http://dbpedia.org/resource/Devinder_Kumar_Sehrawat,Devinder Kumar Sehrawat
http://dbpedia.org/resource/Gulab_Singh_(politician),Gulab Singh
http://dbpedia.org/resource/Hazari_Lal_Chauhan,Hazari Lal Chauhan
http://dbpedia.org/resource/Kailash_Gahlot,Kailash Gahlot
http://dbpedia.org/resource/Kartar_Singh_Tanwar,Kartar Singh Tanwar
http://dbpedia.org/resource/Mohammad_Ishraque,Mohammad Ishraque
http://dbpedia.org/resource/Mohinder_Goyal,Mohinder Goyal
http://dbpedia.org/resource/Narayan_Dutt_Sharma,Narayan Dutt Sharma
http://dbpedia.org/resource/Naresh_Balyan,Naresh Balyan
http://dbpedia.org/resource/Naresh_Yadav,Naresh Yadav
http://dbpedia.org/resource/Nitin_Tyagi,Nitin Tyagi
http://dbpedia.org/resource/Pankaj_Pushkar,Pankaj Pushkar
http://dbpedia.org/resource/Parmila_Tokas,Parmila Tokas
http://dbpedia.org/resource/Pawan_Kumar_Sharma,Pawan Kumar Sharma
http://dbpedia.org/resource/Rajendra_Pal_Gautam,Rajendra Pal Gautam
http://dbpedia.org/resource/Ram_Niwas_Goel,Ram Niwas Goel
http://dbpedia.org/resource/Somnath_Bharti,Somnath Bharti
http://dbpedia.org/resource/Adarsh_Shastri,Adarsh Shastri
http://dbpedia.org/resource/Imran_Hussain_(Indian_politician),Imran Hussain
http://dbpedia.org/resource/Jitender_Singh_Tomar,Jitender Singh Tomar
http://dbpedia.org/resource/Sanjay_Singh_(activist),Sanjay Singh
http://dbpedia.org/resource/Sukhpal_Singh_Khaira,Sukhpal Singh Khaira
http://dbpedia.org/resource/Vijay_Pandhare,Vijay Pandhare
http://dbpedia.org/resource/Dharmender_Singh,Dharmender Singh
http://dbpedia.org/resource/Anjali_Damania,Anjali Damania
http://dbpedia.org/resource/C.R._Neelakandan,C.R. Neelakandan
http://dbpedia.org/resource/Manoj_Kumar_(Delhi_politician),Manoj Kumar
http://dbpedia.org/resource/Rajmohan_Gandhi,Rajmohan Gandhi
http://dbpedia.org/resource/Dilip_Pandey,Dilip Pandey
http://dbpedia.org/resource/Ashutosh_(politician),Ashutosh
http://dbpedia.org/resource/Jagdeep_Singh_(politician),Jagdeep Singh
http://dbpedia.org/resource/Sandeep_Kumar_(politician),Sandeep Kumar
http://dbpedia.org/resource/Bhagwant_Mann,Bhagwant Mann
http://dbpedia.org/resource/Dinesh_Vaghela,Dinesh Vaghela
http://dbpedia.org/resource/Gul_Panag,Gul Panag
http://dbpedia.org/resource/Iliyas_Azmi,Iliyas Azmi
http://dbpedia.org/resource/Alok_Agarwal,Alok Agarwal
http://dbpedia.org/resource/Chandra_Mohan_Sharma,Chandra Mohan Sharma
http://dbpedia.org/resource/Dharamvir_Gandhi,Dharamvir Gandhi
http://dbpedia.org/resource/Harinder_Singh_Khalsa,Harinder Singh Khalsa
http://dbpedia.org/resource/Sadhu_Singh,Sadhu Singh
http://dbpedia.org/resource/Saurabh_Bhardwaj,Saurabh Bhardwaj
