name,label
http://dbpedia.org/resource/Swabhimani_Paksha,Swabhimani Paksha
http://dbpedia.org/resource/Kamtapur_People's_Party,Kamtapur People's Party
http://dbpedia.org/resource/Rashtriya_Samaj_Paksha,Rashtriya Samaj Paksha
http://dbpedia.org/resource/United_Democratic_Party_(Meghalaya),United Democratic Party (Meghalaya)
http://dbpedia.org/resource/Shiv_Sena,Shiv Sena
http://dbpedia.org/resource/Bodoland_People's_Front,Bodoland People's Front
http://dbpedia.org/resource/Maharashtrawadi_Gomantak_Party,Maharashtrawadi Gomantak Party
http://dbpedia.org/resource/All_Jharkhand_Students_Union,All Jharkhand Students Union
http://dbpedia.org/resource/Manipur_Peoples_Party,Manipur Peoples Party
http://dbpedia.org/resource/Kongu_Desa_Makkal_Katchi,Kongu Desa Makkal Katchi
http://dbpedia.org/resource/Kongunadu_Makkal_Desia_Katchi,Kongunadu Makkal Desia Katchi
http://dbpedia.org/resource/Swabhimani_Shetkari_Saghtana,Swabhimani Shetkari Saghtana
http://dbpedia.org/resource/Kerala_Congress_(Nationalist),Kerala Congress (Nationalist)
http://dbpedia.org/resource/Kerala_Congress_(Thomas),Kerala Congress (Thomas)
http://dbpedia.org/resource/Hill_State_People's_Democratic_Party,Hill State People's Democratic Party
http://dbpedia.org/resource/Shiromani_Akali_Dal,Shiromani Akali Dal
http://dbpedia.org/resource/Telangana_Rashtra_Samithi,Telangana Rashtra Samithi
http://dbpedia.org/resource/Gorkha_Janmukti_Morcha,Gorkha Janmukti Morcha
http://dbpedia.org/resource/Jana_Sena_Party,Jana Sena Party
http://dbpedia.org/resource/Mizo_National_Front,Mizo National Front
http://dbpedia.org/resource/Sikkim_Democratic_Front,Sikkim Democratic Front
http://dbpedia.org/resource/All_India_N.R._Congress,All India N.R. Congress
http://dbpedia.org/resource/All_India_Anna_Dravida_Munnetra_Kazhagam,All India Anna Dravida Munnetra Kazhagam
http://dbpedia.org/resource/Dravida_Munnetra_Kazhagam,Dravida Munnetra Kazhagam
http://dbpedia.org/resource/Janata_Dal_(United),Janata Dal (United)
http://dbpedia.org/resource/Pattali_Makkal_Katchi,Pattali Makkal Katchi
http://dbpedia.org/resource/Jharkhand_Mukti_Morcha,Jharkhand Mukti Morcha
http://dbpedia.org/resource/Marumalarchi_Dravida_Munnetra_Kazhagam,Marumalarchi Dravida Munnetra Kazhagam
http://dbpedia.org/resource/Naga_People's_Front,Naga People's Front
http://dbpedia.org/resource/Rashtriya_Lok_Dal,Rashtriya Lok Dal
http://dbpedia.org/resource/Bharatiya_Janata_Party,Bharatiya Janata Party
http://dbpedia.org/resource/Bharath_Dharma_Jana_Sena,Bharath Dharma Jana Sena
http://dbpedia.org/resource/Hindustani_Awam_Morcha,Hindustani Awam Morcha
http://dbpedia.org/resource/Apna_Dal,Apna Dal
http://dbpedia.org/resource/Secular_National_Dravida_Party,Secular National Dravida Party
http://dbpedia.org/resource/Bahujan_Republican_Ekta_Manch,Bahujan Republican Ekta Manch
http://dbpedia.org/resource/Janathipathiya_Samrakshana_Samithy,Janathipathiya Samrakshana Samithy
http://dbpedia.org/resource/National_People's_Party_(India),National People's Party (India)
http://dbpedia.org/resource/Indhiya_Jananayaga_Katchi,Indhiya Jananayaga Katchi
http://dbpedia.org/resource/Desiya_Murpokku_Dravida_Kazhagam,Desiya Murpokku Dravida Kazhagam
http://dbpedia.org/resource/Republican_Party_of_India_(A),Republican Party of India (A)
http://dbpedia.org/resource/Rashtriya_Lok_Samta_Party,Rashtriya Lok Samta Party
http://dbpedia.org/resource/Kerala_Vikas_Congress,Kerala Vikas Congress
http://dbpedia.org/resource/Shiv_Sangram,Shiv Sangram
http://dbpedia.org/resource/Janadhipathya_Rashtriya_Sabha,Janadhipathya Rashtriya Sabha
http://dbpedia.org/resource/Pravasi_Nivasi_Party,Pravasi Nivasi Party
http://dbpedia.org/resource/Goa_Vikas_Party,Goa Vikas Party
