politician,label
http://dbpedia.org/resource/Anju_Bala,Anju Bala
http://dbpedia.org/resource/Bikram_Keshari_Deo,Bikram Keshari Deo
http://dbpedia.org/resource/Kariya_Munda,Kariya Munda
http://dbpedia.org/resource/Mavjibhai_Desai,Mavjibhai Desai
http://dbpedia.org/resource/Rajiv_Pratap_Rudy,Rajiv Pratap Rudy
http://dbpedia.org/resource/Ravi_Shankar_Prasad,Ravi Shankar Prasad
http://dbpedia.org/resource/Amit_Thaker,Amit Thaker
http://dbpedia.org/resource/Daggubati_Purandeswari,Daggubati Purandeswari
http://dbpedia.org/resource/Nalin_Kumar_Kateel,Nalin Kumar Kateel
http://dbpedia.org/resource/Ram_Bilas_Sharma_(politician),Ram Bilas Sharma
http://dbpedia.org/resource/Nagam_Janardhan_Reddy,Nagam Janardhan Reddy
http://dbpedia.org/resource/Praveen_Kumar_(actor),Praveen Kumar
http://dbpedia.org/resource/Rangarajan_Kumaramangalam,Rangarajan Kumaramangalam
http://dbpedia.org/resource/Kirit_Somaiya,Kirit Somaiya
http://dbpedia.org/resource/Ramnarayan_Dudi,Ramnarayan Dudi
http://dbpedia.org/resource/I._M._Jayarama_Shetty,I. M. Jayarama Shetty
http://dbpedia.org/resource/Mukhtar_Abbas_Naqvi,Mukhtar Abbas Naqvi
http://dbpedia.org/resource/Subhash_Chandra,Subhash Chandra
http://dbpedia.org/resource/Bhupen_Hazarika,Bhupen Hazarika
http://dbpedia.org/resource/Girdhari_Lal_Bhargava,Girdhari Lal Bhargava
http://dbpedia.org/resource/Jagadish_Shettar,Jagadish Shettar
http://dbpedia.org/resource/Kailash_Meghwal,Kailash Meghwal
http://dbpedia.org/resource/Kalyan_Singh,Kalyan Singh
http://dbpedia.org/resource/Kiran_Maheshwari,Kiran Maheshwari
http://dbpedia.org/resource/Nand_Kishore_Yadav,Nand Kishore Yadav
http://dbpedia.org/resource/Santosh_Gangwar,Santosh Gangwar
http://dbpedia.org/resource/Subhash_Maharia,Subhash Maharia
http://dbpedia.org/resource/Susheela_Laxman_Bangaru,Susheela Laxman Bangaru
http://dbpedia.org/resource/Thawar_Chand_Gehlot,Thawar Chand Gehlot
http://dbpedia.org/resource/Udit_Raj,Udit Raj
http://dbpedia.org/resource/Vijay_Goel,Vijay Goel
http://dbpedia.org/resource/Vijay_Kumar_Malhotra,Vijay Kumar Malhotra
http://dbpedia.org/resource/Radhabinod_Koijam,Radhabinod Koijam
http://dbpedia.org/resource/Amara_Ram,Amara Ram
http://dbpedia.org/resource/A._T._Patil,A. T. Patil
http://dbpedia.org/resource/Bhaskarrao_Bapurao_Khatgaonkar_Patil,Bhaskarrao Bapurao Khatgaonkar Patil
http://dbpedia.org/resource/Dilipkumar_Gandhi,Dilipkumar Gandhi
http://dbpedia.org/resource/Lalubhai_Patel,Lalubhai Patel
http://dbpedia.org/resource/Pratap_Narayanrao_Sonawane,Pratap Narayanrao Sonawane
http://dbpedia.org/resource/Om_Birla,Om Birla
http://dbpedia.org/resource/Radha_Mohan_Singh,Radha Mohan Singh
http://dbpedia.org/resource/Anandiben_Patel,Anandiben Patel
http://dbpedia.org/resource/Darshana_Jardosh,Darshana Jardosh
http://dbpedia.org/resource/Madan_Prasad_Jaiswal,Madan Prasad Jaiswal
http://dbpedia.org/resource/Nirmala_Sitharaman,Nirmala Sitharaman
http://dbpedia.org/resource/Sanjay_Jaiswal,Sanjay Jaiswal
http://dbpedia.org/resource/Vishweshwar_Hegde_Kageri,Vishweshwar Hegde Kageri
http://dbpedia.org/resource/Diya_Kumari,Diya Kumari
http://dbpedia.org/resource/Manohara_Maski,Manohara Maski
http://dbpedia.org/resource/Rajendra_Agrawal,Rajendra Agrawal
http://dbpedia.org/resource/Shashil_G._Namoshi,Shashil G. Namoshi
http://dbpedia.org/resource/Atal_Bihari_Vajpayee,Atal Bihari Vajpayee
http://dbpedia.org/resource/Prabhakar_Kore,Prabhakar Kore
http://dbpedia.org/resource/Vijay_Bahuguna,Vijay Bahuguna
http://dbpedia.org/resource/Vinay_Katiyar,Vinay Katiyar
http://dbpedia.org/resource/Vinay_Sahasrabuddhe,Vinay Sahasrabuddhe
http://dbpedia.org/resource/Aelay_Narendra,Aelay Narendra
http://dbpedia.org/resource/Anant_Kumar_Hegde,Anant Kumar Hegde
http://dbpedia.org/resource/Annasaheb_M._K._Patil,Annasaheb M. K. Patil
http://dbpedia.org/resource/Anuradha_Choudhary,Anuradha Choudhary
