"name","label"
"http://dbpedia.org/resource/Jagdish_Tytler","Jagdish Tytler"
"http://dbpedia.org/resource/K._Raman","K. Raman"
"http://dbpedia.org/resource/Laxmi_Raman_Acharya","Laxmi Raman Acharya"
"http://dbpedia.org/resource/P._V._Narasimha_Rao","P. V. Narasimha Rao"
"http://dbpedia.org/resource/Abul_Kalam_Azad","Abul Kalam Azad"
"http://dbpedia.org/resource/Ashok_Kumar_(Indian_politician)","Ashok Kumar (Indian politician)"
"http://dbpedia.org/resource/Balu_Naik","Balu Naik"
"http://dbpedia.org/resource/Beant_Singh_(chief_minister)","Beant Singh (chief minister)"
"http://dbpedia.org/resource/Bidhan_Chandra_Roy","Bidhan Chandra Roy"
"http://dbpedia.org/resource/Harish_Rawat","Harish Rawat"
"http://dbpedia.org/resource/Manish_Tewari","Manish Tewari"
"http://dbpedia.org/resource/Manthena_Venkata_Raju","Manthena Venkata Raju"
"http://dbpedia.org/resource/P._S._Kumaraswamy_Raja","P. S. Kumaraswamy Raja"
"http://dbpedia.org/resource/Prafulla_Chandra_Ghosh","Prafulla Chandra Ghosh"
"http://dbpedia.org/resource/Pusapati_Vijayarama_Gajapati_Raju","Pusapati Vijayarama Gajapati Raju"
"http://dbpedia.org/resource/Yashpal_Kapur","Yashpal Kapur"
"http://dbpedia.org/resource/Nareshkumar_Chunnalal_Puglia","Nareshkumar Chunnalal Puglia"
"http://dbpedia.org/resource/Amit_Deshmukh","Amit Deshmukh"
"http://dbpedia.org/resource/Balasaheb_Desai","Balasaheb Desai"
"http://dbpedia.org/resource/Bayya_Suryanarayana_Murthy","Bayya Suryanarayana Murthy"
"http://dbpedia.org/resource/Debi_Prasad_Pal","Debi Prasad Pal"
"http://dbpedia.org/resource/Devanand_Konwar","Devanand Konwar"
"http://dbpedia.org/resource/Diliprao_Deshmukh","Diliprao Deshmukh"
"http://dbpedia.org/resource/G._S._Melkote","G. S. Melkote"
"http://dbpedia.org/resource/Hemananda_Biswal","Hemananda Biswal"
"http://dbpedia.org/resource/Jassi_Khangura","Jassi Khangura"
"http://dbpedia.org/resource/K._V._Thomas","K. V. Thomas"
"http://dbpedia.org/resource/Kakoli_Ghosh_Dastidar","Kakoli Ghosh Dastidar"
"http://dbpedia.org/resource/Kodikunnil_Suresh","Kodikunnil Suresh"
"http://dbpedia.org/resource/Krishna_Byre_Gowda","Krishna Byre Gowda"
"http://dbpedia.org/resource/Mahabal_Mishra","Mahabal Mishra"
"http://dbpedia.org/resource/Meenakshi_Natarajan","Meenakshi Natarajan"
"http://dbpedia.org/resource/Mosalikanti_Thirumala_Rao","Mosalikanti Thirumala Rao"
"http://dbpedia.org/resource/Nilesh_Narayan_Rane","Nilesh Narayan Rane"
"http://dbpedia.org/resource/Paidi_Lakshmayya","Paidi Lakshmayya"
"http://dbpedia.org/resource/Ponnam_Prabhakar_Goud","Ponnam Prabhakar Goud"
"http://dbpedia.org/resource/R._Balakrishna_Pillai","R. Balakrishna Pillai"
"http://dbpedia.org/resource/Ravneet_Singh","Ravneet Singh"
"http://dbpedia.org/resource/S._S._Ramasubbu","S. S. Ramasubbu"
"http://dbpedia.org/resource/Suresh_Shetkar","Suresh Shetkar"
"http://dbpedia.org/resource/Chiranjeevi","Chiranjeevi"
"http://dbpedia.org/resource/Alka_Nath","Alka Nath"
"http://dbpedia.org/resource/B._Mohan_Reddy","B. Mohan Reddy"
"http://dbpedia.org/resource/Ghulam_Nabi_Azad","Ghulam Nabi Azad"
"http://dbpedia.org/resource/Haji_Nurul_Islam","Haji Nurul Islam"
"http://dbpedia.org/resource/Kewal_Krishan","Kewal Krishan"
"http://dbpedia.org/resource/Laishram_Nandakumar_Singh","Laishram Nandakumar Singh"
"http://dbpedia.org/resource/Mukul_Wasnik","Mukul Wasnik"
"http://dbpedia.org/resource/Munishwar_Dutt_Upadhyay","Munishwar Dutt Upadhyay"
"http://dbpedia.org/resource/P._Chidambaram","P. Chidambaram"
"http://dbpedia.org/resource/P._R._S._Venkatesan","P. R. S. Venkatesan"
"http://dbpedia.org/resource/P._Shankar_Rao","P. Shankar Rao"
"http://dbpedia.org/resource/Rajinder_Kaur_Bhattal","Rajinder Kaur Bhattal"
"http://dbpedia.org/resource/Ramamirda_Thondaman","Ramamirda Thondaman"
"http://dbpedia.org/resource/Rangarajan_Kumaramangalam","Rangarajan Kumaramangalam"
"http://dbpedia.org/resource/Rani_Venkatesan","Rani Venkatesan"
"http://dbpedia.org/resource/S._Sivaraman","S. Sivaraman"
"http://dbpedia.org/resource/Sarat_Chandra_Sinha","Sarat Chandra Sinha"
"http://dbpedia.org/resource/Shankar_Dayal_Singh","Shankar Dayal Singh"
"http://dbpedia.org/resource/Virendra_Kataria","Virendra Kataria"
"http://dbpedia.org/resource/Eknath_Gaikwad","Eknath Gaikwad"
"http://dbpedia.org/resource/Sanjay_Nirupam","Sanjay Nirupam"
"http://dbpedia.org/resource/Sunil_Dutt","Sunil Dutt"
"http://dbpedia.org/resource/Maulvi_Tamizuddin_Khan","Maulvi Tamizuddin Khan"
"http://dbpedia.org/resource/Mogaligundla_Baga_Reddy","Mogaligundla Baga Reddy"
"http://dbpedia.org/resource/A._C._Jose","A. C. Jose"
"http://dbpedia.org/resource/A._Shanker_Alva","A. Shanker Alva"
"http://dbpedia.org/resource/Adoor_Prakash","Adoor Prakash"
"http://dbpedia.org/resource/Hukumchand_Amdhare","Hukumchand Amdhare"
"http://dbpedia.org/resource/I._Rama_Rai","I. Rama Rai"
"http://dbpedia.org/resource/Joy_Thomas","Joy Thomas"
"http://dbpedia.org/resource/K._Nagappa_Alva","K. Nagappa Alva"
"http://dbpedia.org/resource/Konda_Venkatappaiah","Konda Venkatappaiah"
"http://dbpedia.org/resource/M._M._Hassan","M. M. Hassan"
"http://dbpedia.org/resource/Maganti_Ankineedu","Maganti Ankineedu"
"http://dbpedia.org/resource/Murli_Manohar","Murli Manohar"
"http://dbpedia.org/resource/P._P._George","P. P. George"
"http://dbpedia.org/resource/R._Raghunatha_Rao","R. Raghunatha Rao"
"http://dbpedia.org/resource/Thakkalapalli_Purushothama_Rao","Thakkalapalli Purushothama Rao"
"http://dbpedia.org/resource/Ahmed_Patel","Ahmed Patel"
"http://dbpedia.org/resource/Akhilesh_Prasad_Singh","Akhilesh Prasad Singh"
"http://dbpedia.org/resource/Chander_Kumar","Chander Kumar"
"http://dbpedia.org/resource/Chegondi_Venkata_Harirama_Jogaiah","Chegondi Venkata Harirama Jogaiah"
"http://dbpedia.org/resource/Dhani_Ram_Shandil","Dhani Ram Shandil"
"http://dbpedia.org/resource/G._V._Harsha_Kumar","G. V. Harsha Kumar"
"http://dbpedia.org/resource/Mohsina_Kidwai","Mohsina Kidwai"
"http://dbpedia.org/resource/Ramakrishna_Badiga","Ramakrishna Badiga"
"http://dbpedia.org/resource/Digvijaya_Singh","Digvijaya Singh"
"http://dbpedia.org/resource/Ramya","Ramya"
"http://dbpedia.org/resource/Sajjan_Kumar","Sajjan Kumar"
"http://dbpedia.org/resource/Sriprakash_Jaiswal","Sriprakash Jaiswal"
"http://dbpedia.org/resource/Natwar_Singh","Natwar Singh"
"http://dbpedia.org/resource/Roohi_Zuberi","Roohi Zuberi"
"http://dbpedia.org/resource/Badruddin_Tyabji","Badruddin Tyabji"
"http://dbpedia.org/resource/Bijoy_Koijam","Bijoy Koijam"
"http://dbpedia.org/resource/Khwairakpam_Loken_Singh","Khwairakpam Loken Singh"
"http://dbpedia.org/resource/Muhammed_Alauddin_Khan","Muhammed Alauddin Khan"
"http://dbpedia.org/resource/Radhabinod_Koijam","Radhabinod Koijam"
"http://dbpedia.org/resource/Rokonicha","Rokonicha"
"http://dbpedia.org/resource/Swami_Ramanand_Tirtha","Swami Ramanand Tirtha"
"http://dbpedia.org/resource/Thokchom_Navakumar_Singh","Thokchom Navakumar Singh"
"http://dbpedia.org/resource/Thounaojam_Shyamkumar_Singh","Thounaojam Shyamkumar Singh"
"http://dbpedia.org/resource/Z._Obed","Z. Obed"
"http://dbpedia.org/resource/A._Nesamony","A. Nesamony"
"http://dbpedia.org/resource/Badri_Ram_Jakhar","Badri Ram Jakhar"
"http://dbpedia.org/resource/Bangaru_Usha_Rani","Bangaru Usha Rani"
"http://dbpedia.org/resource/Bhanu_Pratap_Singh","Bhanu Pratap Singh"
"http://dbpedia.org/resource/C._P._Joshi","C. P. Joshi"
"http://dbpedia.org/resource/Chaudhary_Brahm_Prakash","Chaudhary Brahm Prakash"
"http://dbpedia.org/resource/Harish_Kumar_Gangawar","Harish Kumar Gangawar"
"http://dbpedia.org/resource/Jaywantrao_Awale","Jaywantrao Awale"
"http://dbpedia.org/resource/K._Parthasarathi","K. Parthasarathi"
"http://dbpedia.org/resource/Marotrao_Kowase","Marotrao Kowase"
"http://dbpedia.org/resource/Mukund_Lal_Agrawal","Mukund Lal Agrawal"
"http://dbpedia.org/resource/N._Gopala_Menon","N. Gopala Menon"
"http://dbpedia.org/resource/N._Peethambara_Kurup","N. Peethambara Kurup"
"http://dbpedia.org/resource/Ninong_Ering","Ninong Ering"
"http://dbpedia.org/resource/Pratap_Singh_Bajwa","Pratap Singh Bajwa"
"http://dbpedia.org/resource/S._Chellapandian","S. Chellapandian"
"http://dbpedia.org/resource/Sabitha_Indra_Reddy","Sabitha Indra Reddy"
"http://dbpedia.org/resource/Shruti_Choudhry","Shruti Choudhry"
"http://dbpedia.org/resource/Suresh_Kashinath_Taware","Suresh Kashinath Taware"
"http://dbpedia.org/resource/Takam_Sanjoy","Takam Sanjoy"
"http://dbpedia.org/resource/Thangso_Baite","Thangso Baite"
"http://dbpedia.org/resource/V._T._Patil","V. T. Patil"
"http://dbpedia.org/resource/Anantrao_Patil","Anantrao Patil"
"http://dbpedia.org/resource/Balram_Naik","Balram Naik"
"http://dbpedia.org/resource/Harikesh_Bahadur","Harikesh Bahadur"
"http://dbpedia.org/resource/Jagdish_Jandu","Jagdish Jandu"
"http://dbpedia.org/resource/K._Pushpaleela","K. Pushpaleela"
"http://dbpedia.org/resource/Mallu_Ravi","Mallu Ravi"
"http://dbpedia.org/resource/Nabin_Chandra_Bardoloi","Nabin Chandra Bardoloi"
"http://dbpedia.org/resource/P._T._Chacko","P. T. Chacko"
"http://dbpedia.org/resource/Pradeep_Jain_Aditya","Pradeep Jain Aditya"
"http://dbpedia.org/resource/Raninder_Singh","Raninder Singh"
"http://dbpedia.org/resource/Ratan_Singh","Ratan Singh"
"http://dbpedia.org/resource/Sarve_Satyanarayana","Sarve Satyanarayana"
