politician,label
http://dbpedia.org/resource/Ganesh_Ghosh,Ganesh Ghosh
http://dbpedia.org/resource/Subodh_Roy,Subodh Roy
http://dbpedia.org/resource/A._Sampath,A. Sampath
http://dbpedia.org/resource/M._B._Rajesh,M. B. Rajesh
http://dbpedia.org/resource/P._R._Natarajan,P. R. Natarajan
http://dbpedia.org/resource/Moturu_Hanumantha_Rao,Moturu Hanumantha Rao
http://dbpedia.org/resource/Sanjay_Chauhan_(politician),Sanjay Chauhan
http://dbpedia.org/resource/P._Ramamurthi,P. Ramamurthi
http://dbpedia.org/resource/Ramanna_Rai,Ramanna Rai
http://dbpedia.org/resource/Ahilya_Rangnekar,Ahilya Rangnekar
http://dbpedia.org/resource/Jharna_Das,Jharna Das
http://dbpedia.org/resource/Abdur_Razzak_Molla,Abdur Razzak Molla
http://dbpedia.org/resource/Ashok_Bhattacharya,Ashok Bhattacharya
http://dbpedia.org/resource/Benoy_Choudhury,Benoy Choudhury
http://dbpedia.org/resource/Mahendra_Kumar_Roy_(West_Bengal_politician),Mahendra Kumar Roy
http://dbpedia.org/resource/Mrinal_Banerjee,Mrinal Banerjee
http://dbpedia.org/resource/A.N._Shamseer,A.N. Shamseer
http://dbpedia.org/resource/A._M._Paraman,A. M. Paraman
http://dbpedia.org/resource/A._V._Aryan,A. V. Aryan
http://dbpedia.org/resource/K._Balabharathi,K. Balabharathi
http://dbpedia.org/resource/K._Balakrishnan_(CPI-M),K. Balakrishnan
http://dbpedia.org/resource/K._Thangavel,K. Thangavel
http://dbpedia.org/resource/T.V._Rajesh,T.V. Rajesh
http://dbpedia.org/resource/Charu_Majumdar,Charu Majumdar
http://dbpedia.org/resource/Prakash_Karat,Prakash Karat
http://dbpedia.org/resource/A._V._Bellarmin,A. V. Bellarmin
http://dbpedia.org/resource/Anil_Basu,Anil Basu
http://dbpedia.org/resource/Bikash_Ranjan_Bhattacharya,Bikash Ranjan Bhattacharya
http://dbpedia.org/resource/C._S._Sujatha,C. S. Sujatha
http://dbpedia.org/resource/Kodiyeri_Balakrishnan,Kodiyeri Balakrishnan
http://dbpedia.org/resource/Lonappan_Nambadan,Lonappan Nambadan
http://dbpedia.org/resource/M._A._Baby,M. A. Baby
http://dbpedia.org/resource/N._N._Krishnadas,N. N. Krishnadas
http://dbpedia.org/resource/P._Karunakaran,P. Karunakaran
http://dbpedia.org/resource/P._Mohan,P. Mohan
http://dbpedia.org/resource/P._Rajendran,P. Rajendran
http://dbpedia.org/resource/P._Sathidevi,P. Sathidevi
http://dbpedia.org/resource/S._Ajaya_Kumar,S. Ajaya Kumar
http://dbpedia.org/resource/T._K._Hamza,T. K. Hamza
http://dbpedia.org/resource/Varkala_Radhakrishnan,Varkala Radhakrishnan
http://dbpedia.org/resource/Mukesh_(actor),Mukesh
http://dbpedia.org/resource/Susmita_Bauri,Susmita Bauri
http://dbpedia.org/resource/Anup_Kumar_Saha,Anup Kumar Saha
http://dbpedia.org/resource/Brinda_Karat,Brinda Karat
http://dbpedia.org/resource/Dasarath_Deb,Dasarath Deb
http://dbpedia.org/resource/Manik_Sarkar,Manik Sarkar
http://dbpedia.org/resource/K._M._Abraham,K. M. Abraham
