OBJECTID,UID,ID_0,ISO,NAME_0,ID_1,NAME_1,VARNAME_1,NL_NAME_1,HASC_1,CCN_1,CCA_1,TYPE_1,ENGTYPE_1,VALIDFR_1,VALIDTO_1,REMARKS_1,ID_2,NAME_2,VARNAME_2,NL_NAME_2,HASC_2,CCN_2,CCA_2,TYPE_2,ENGTYPE_2,VALIDFR_2,VALIDTO_2,REMARKS_2,ID_3,NAME_3,VARNAME_3,NL_NAME_3,HASC_3,CCN_3,CCA_3,TYPE_3,ENGTYPE_3,VALIDFR_3,VALIDTO_3,REMARKS_3,ID_4,NAME_4,VARNAME_4,CCN_4,CCA_4,TYPE_4,ENGTYPE_4,VALIDFR_4,VALIDTO_4,REMARKS_4,ID_5,NAME_5,CCN_5,CCA_5,TYPE_5,ENGTYPE_5,REGION,VARREGION,Shape_Leng,Shape_Area
14,14.0,1,AFG,Afghanistan,2,Badghis,Badghes|Badghisat|Badgis,,AF.BG,0,,Velayat,Province,1988,Present,,14,Ab Kamari,,,AF.BG.AK,0,,Wuleswali,District,Unknown,Present,,0,,,,,0,,,,,,,0,,,0,,,,,,,0,,0,,,,,,1.69404474681,0.134775384009
21,21.0,1,AFG,Afghanistan,3,Baghlan,Baglan|Bughlan,,AF.BL,0,,Velayat,Province,1988,Present,,21,Andarab,,,AF.BL.AN,0,,Wuleswali,District,Unknown,Present,,0,,,,,0,,,,,,,0,,,0,,,,,,,0,,0,,,,,,2.46687198366,0.222008011828
33,33.0,1,AFG,Afghanistan,4,Balkh,Balh|Mazar-i-Sharif|Mazar,,AF.BK,0,,Velayat,Province,19640430,198804,,33,Balkh,,,AF.BK.BA,0,,Wuleswali,District,Unknown,Present,,0,,,,,0,,,,,,,0,,,0,,,,,,,0,,0,,,,,,1.01250144519,0.0503301357821
47,47.0,1,AFG,Afghanistan,5,Bamyan,,,AF.BM,0,,Velayat,Province,1988,Present,,47,Bamyan City,,,AF.BM.BA,0,,Wuleswali,District,Unknown,Present,,0,,,,,0,,,,,,,0,,,0,,,,,,,0,,0,,,,,,1.91146376819,0.184451459427
52,52.0,1,AFG,Afghanistan,6,Daykundi,<Null>,,AF.DK,0,,Velayat,Province,20040328,Present,,52,Day Kundi,,,,0,,Wuleswali,District,Unknown,Present,,0,,,,,0,,,,,,,0,,,0,,,,,,,0,,0,,,,,,4.41804613149,0.7891651846
56,56.0,1,AFG,Afghanistan,7,Farah,,,AF.FH,0,,Velayat,Province,Unknown,Present,,56,Anar Dara,,,AF.FH.AD,0,,Wuleswali,District,Unknown,Present,,0,,,,,0,,,,,,,0,,,0,,,,,,,0,,0,,,,,,4.15909270935,1.04878782494
67,67.0,1,AFG,Afghanistan,8,Faryab,Fariab|Maimana|Meymaneh,,AF.FB,0,,Velayat,Province,1988,Present,,67,Almar,,,AF.FB.AL,0,,Wuleswali,District,Unknown,Present,,0,,,,,0,,,,,,,0,,,0,,,,,,,0,,0,,,,,,2.03912336864,0.179981705602
79,79.0,1,AFG,Afghanistan,9,Ghazni,Gazni,,AF.GZ,0,,Velayat,Province,Unknown,Unknown,,79,Ab Band,,,AF.GZ.AB,0,,Wuleswali,District,Unknown,Present,,0,,,,,0,,,,,,,0,,,0,,,,,,,0,,0,,,,,,1.59208237155,0.107000299249
94,94.0,1,AFG,Afghanistan,10,Ghor,Gawr|Ghore|Ghour|Ghur,,AF.GR,0,,Velayat,Province,1988,Present,,94,Chaghcharan,,,AF.GR.CH,0,,Wuleswali,District,Unknown,Present,,0,,,,,0,,,,,,,0,,,0,,,,,,,0,,0,,,,,,6.05110034146,1.090408729
101,101.0,1,AFG,Afghanistan,11,Hilmand,Girishk|Hilmend,,AF.HM,0,,Velayat,Province,1988,Present,,101,Bughran,Baghran,,AF.HM.BU,0,,Wuleswali,District,Unknown,Present,,0,,,,,0,,,,,,,0,,,0,,,,,,,0,,0,,,,,,3.05456138986,0.374587155064
114,114.0,1,AFG,Afghanistan,12,Hirat,,,AF.HR,0,,Velayat,Province,Unknown,Present,,114,Adraskan,,,AF.HR.AD,0,,Wuleswali,District,Unknown,Present,,0,,,,,0,,,,,,,0,,,0,,,,,,,0,,0,,,,,,6.24190162445,1.07918625302
130,130.0,1,AFG,Afghanistan,13,Jawzjan,Jaozjan|Jozjan|Juzjan|Jouzjan|Shibarghan,,AF.JW,0,,Velayat,Province,19640430,198804,,130,Aqcha,,,AF.JW.AQ,0,,Wuleswali,District,Unknown,Present,,0,,,,,0,,,,,,,0,,,0,,,,,,,0,,0,,,,,,1.53557530229,0.0990164266841
139,139.0,1,AFG,Afghanistan,14,Kabul,Cabul|Kabol|Kaboul,,AF.KB,0,,Velayat,Province,Unknown,Present,,139,Bagrami,,,AF.KB.BA,0,,Wuleswali,District,Unknown,Present,,0,,,,,0,,,,,,,0,,,0,,,,,,,0,,0,,,,,,0.838372715793,0.0318622226769
153,153.0,1,AFG,Afghanistan,15,Kandahar,Qandahar,,AF.KD,0,,Velayat,Province,Unknown,Present,,153,Arghandab,,,AF.KD.AD,0,,Wuleswali,District,Unknown,Present,,0,,,,,0,,,,,,,0,,,0,,,,,,,0,,0,,,,,,1.01225536728,0.0520466631133
