Name,Type,Country,Code,Latitude,Longitude,Radius
Ashmore and Cartier Islands,Territory,Australia,AU,-12.38453184016485,123.19156376993625,25
Ashmore and Cartier Islands,Territory,Australia,AU,-12.38453184016485,123.3257396968608,25
Australian Capital Territory,Territory,Australia,AU,-35.65127527717892,149.08187301241543,30
Australian Capital Territory,Territory,Australia,AU,-35.396049642710494,149.08086055381617,30
Coral Sea Islands,Territory,Australia,AU,-20.124240806837552,152.41168736564808,343
Coral Sea Islands,Territory,Australia,AU,-19.182005687903324,152.3925759019213,343
Jervis Bay Territory,Territory,Australia,AU,-35.15649495228263,150.68255190620073,25
New South Wales,State,Australia,AU,-32.8821229730759,146.3434830821884,500
New South Wales,State,Australia,AU,-32.8821229730759,153.91062153206937,500
Northern Territory,Territory,Australia,AU,-21.492221793220438,133.7455482982404,492
Northern Territory,Territory,Australia,AU,-15.302682788807003,133.578485052511,492
Queensland,State,Australia,AU,-24.58706747886322,142.92867496453374,500
Queensland,State,Australia,AU,-24.58706747886322,148.61653682745882,500
Queensland,State,Australia,AU,-15.58591044030481,142.65333118981383,500
Queensland,State,Australia,AU,-15.58591044030481,148.89188060217873,500
Queensland,State,Australia,AU,-20.086488959584013,145.91027778335624,250.0
Queensland,State,Australia,AU,-13.69784385427002,142.61352263087986,500
Queensland,State,Australia,AU,-13.697843854270022,148.9316891611127,500
Queensland,State,Australia,AU,-14.641877147287417,145.79251017546326,250.0
South Australia,State,Australia,AU,-33.43899839928587,134.3793849755678,500
South Australia,State,Australia,AU,-30.40361067103086,134.20502920712514,500
South Australia,State,Australia,AU,-30.40361067103086,135.796603483305,500
Tasmania,State,Australia,AU,-50.41027793776657,150.86158676610623,500
Tasmania,State,Australia,AU,-43.53280465510408,150.0084042453334,500
Tasmania,State,Australia,AU,-43.53280465510408,152.7586703396276,500
Victoria,State,Australia,AU,-36.565652363081696,144.22267060937844,292
Victoria,State,Australia,AU,-36.565652363081696,146.71542448339508,292
Western Australia,State,Australia,AU,-30.57965060752827,118.13423379657847,500
Western Australia,State,Australia,AU,-30.57965060752827,123.78550497295319,500
Western Australia,State,Australia,AU,-21.588222445899405,117.74872987764897,500
Western Australia,State,Australia,AU,-21.588222445899405,124.17100889188269,500
Western Australia,State,Australia,AU,-26.083936526713835,121.15262134423058,250.0
Western Australia,State,Australia,AU,-18.149446284069835,117.64545407309429,500
Western Australia,State,Australia,AU,-18.149446284069835,124.27428469643738,500
Western Australia,State,Australia,AU,-19.86883436498462,121.01150728704317,250.0
