Name,Type,Country,Code,Latitude,Longitude,Radius
Alsace,Region,France,FR,47.87783055923005,7.521612936423145,51
Alsace,Region,France,FR,48.61722953302186,7.531466488838506,51
Aquitaine,Region,France,FR,43.90102627184397,-0.2200514110244733,126
Aquitaine,Region,France,FR,44.56979218006704,-0.20218232122350324,126
Auvergne,Region,France,FR,45.44623912120193,3.24647375825328,93
Auvergne,Region,France,FR,45.96099184588589,3.2573874207971016,93
Île-de-France,Region,France,FR,48.6758096625328,2.3027459470284413,63
Île-de-France,Region,France,FR,48.6758096625328,2.7002204569328194,63
Basse-Normandie,Region,France,FR,48.948079837933605,-0.8762320491192598,87
Basse-Normandie,Region,France,FR,48.948079837933605,-0.21138022218959238,87
Bourgogne,Region,France,FR,47.039992309519754,4.147543097277986,99
Bourgogne,Region,France,FR,47.50096699339,4.158902649872767,99
Bretagne,Region,France,FR,48.18411006589936,-3.7719641066118466,102
Bretagne,Region,France,FR,48.18411006589936,-2.3899900578930406,102
Centre,Region,France,FR,47.35400278796728,1.5444252556087887,113
Centre,Region,France,FR,47.91497155313718,1.5604688579497341,113
Champagne-Ardenne,Region,France,FR,48.379625125531284,4.592829961231957,90
Champagne-Ardenne,Region,France,FR,49.35190070300499,4.616479319630991,90
Corse,Region,France,FR,41.71081358592306,9.03674999332173,42
Corse,Region,France,FR,42.46702989714976,9.042753410602296,42
Corse,Region,France,FR,42.64898630829542,9.044232801941865,42
Franche-Comté,Region,France,FR,46.895658800276465,6.177097411302789,71
Franche-Comté,Region,France,FR,47.381707094352855,6.185566703648025,71
Haute-Normandie,Region,France,FR,49.229868910175526,0.9190448263221549,63
Haute-Normandie,Region,France,FR,49.5019465718973,0.9237699902478749,63
Languedoc-Roussillon,Region,France,FR,43.44830302125322,3.226592773866636,125
Languedoc-Roussillon,Region,France,FR,43.840328288259876,3.236630320908024,125
Limousin,Region,France,FR,45.608967283156375,1.6045798989408215,77
Lorraine,Region,France,FR,48.70445844904203,6.238981045217261,100
Midi-Pyrénées,Region,France,FR,43.79576049675002,1.3879408197378074,138
Nord-Pas-de-Calais,Region,France,FR,50.526664463157516,2.4437548316188438,63
Nord-Pas-de-Calais,Region,France,FR,50.526664463157516,3.341657122307328,63
Pays de la Loire,Region,France,FR,47.40497202902337,-0.9305686076720145,128
Picardie,Region,France,FR,49.597448859622745,2.5693812379087597,86
Picardie,Region,France,FR,49.597448859622745,3.066075681761424,86
Poitou-Charentes,Region,France,FR,46.03489275287246,-0.20391081544925518,106
Provence-Alpes-Côte d'Azur,Region,France,FR,44.04447642278039,5.727101949364088,120
Provence-Alpes-Côte d'Azur,Region,France,FR,44.04447642278039,6.218783232062857,120
Rhône-Alpes,Region,France,FR,45.304049219105345,5.401600533300765,134
