Name,Type,Country,Code,Latitude,Longitude,Radius
Andaman and Nicobar,Union Territory,India,IN,7.765787713676786,93.2169504399056,112
Andaman and Nicobar,Union Territory,India,IN,9.790781532981768,93.22244109662819,112
Andaman and Nicobar,Union Territory,India,IN,11.815530804516644,93.22926690663891,112
Andaman and Nicobar,Union Territory,India,IN,13.839987513025743,93.23747190674281,112
Andhra Pradesh,State,India,IN,15.858311012015134,80.14619174213307,363
Andhra Pradesh,State,India,IN,15.858311012015134,81.37181362896071,363
Arunachal Pradesh,State,India,IN,28.050658074887675,93.14159258684646,156
Arunachal Pradesh,State,India,IN,28.050658074887675,95.82839337506789,156
Assam,State,India,IN,26.04063304655303,91.82316193604318,213
Assam,State,India,IN,26.04063304655303,93.89258971190642,213
Bihar,State,India,IN,26.055538017044885,85.29474953566404,198
Bihar,State,India,IN,26.055538017044885,86.31323691453181,198
Chandigarh,Union Territory,India,IN,30.734159434739528,76.76341321203311,25
Chhattisgarh,State,India,IN,19.677801772915085,82.25143491293761,211
Chhattisgarh,State,India,IN,22.188873862805927,82.28526830566169,211
Dadra and Nagar Haveli,Union Territory,India,IN,20.20609986509944,73.07558114620562,25
Daman and Diu,Union Territory,India,IN,20.551460467139773,71.1318264265625,25
Daman and Diu,Union Territory,India,IN,20.551128772826516,71.61131407504979,25
Daman and Diu,Union Territory,India,IN,20.550797084338097,72.09080068900026,25
Daman and Diu,Union Territory,India,IN,20.550465401674366,72.57028626845255,25
Daman and Diu,Union Territory,India,IN,20.551460467139773,72.66356084150404,25
Goa,State,India,IN,15.220769227566771,74.00956088608461,36
Goa,State,India,IN,15.471946756852129,74.00995598380865,36
Gujarat,State,India,IN,22.394794624291894,70.65300404080033,254
Gujarat,State,India,IN,22.394794624291894,72.0121647214069,254
Haryana,State,India,IN,29.00070890640141,75.99871505469281,150
Haryana,State,India,IN,29.568329326976265,76.0072169675231,150
Himachal Pradesh,Union Territory,India,IN,31.809165248107387,77.26054501540642,160
Jammu and Kashmir,State,India,IN,33.8733504344268,75.69801742627317,179
Jammu and Kashmir,State,India,IN,33.8733504344268,77.62949722216439,179
Jharkhand,State,India,IN,23.646723044473116,85.16625206390877,188
Jharkhand,State,India,IN,23.646723044473116,86.13065345366958,188
Karnataka,State,India,IN,13.724999730619194,76.26293408463555,239
Karnataka,State,India,IN,16.283800994556717,76.28938160997798,239
Kerala,State,India,IN,9.542950782778643,76.11739115228112,138
Kerala,State,India,IN,11.540608406563122,76.12548276791198,138
Lakshadweep,Union Territory,India,IN,9.06077246047875,72.89467776190523,88
Lakshadweep,Union Territory,India,IN,10.65183889713244,72.89849592668001,88
Lakshadweep,Union Territory,India,IN,10.909671062787627,72.89917592259579,88
Madhya Pradesh,State,India,IN,23.94278145476506,77.1980996606804,322
Madhya Pradesh,State,India,IN,23.94278145476506,79.64434571285511,322
Maharashtra,State,India,IN,18.7877855290007,76.02771436147101,356
Maharashtra,State,India,IN,18.7877855290007,77.51513994761113,356
Manipur,State,India,IN,24.652700872229094,93.85475945413384,90
Manipur,State,India,IN,24.882599065136368,93.85638332973849,90
Meghalaya,State,India,IN,25.574041172326677,90.42877505995563,61
Meghalaya,State,India,IN,25.571522633953304,91.64298032198899,61
Meghalaya,State,India,IN,25.574041172326677,92.19730831406825,61
Mizoram,State,India,IN,22.49604633036551,92.84305915655372,61
Mizoram,State,India,IN,23.597621733659384,92.847825839052,61
Mizoram,State,India,IN,23.968983171485547,92.84949963802475,61
Nagaland,State,India,IN,26.05647376146746,94.28017863321597,95
NCT of Delhi,Union Territory,India,IN,28.633801702934164,77.08472478154965,25
Odisha,State,India,IN,20.16529082569488,83.9085118023844,264
Odisha,State,India,IN,20.16529082569488,84.95714981870972,264
Puducherry,Union Territory,India,IN,13.762950152360126,78.26345663789742,329
Puducherry,Union Territory,India,IN,13.762950152360126,79.26049966093066,329
Punjab,State,India,IN,30.836447756889388,75.37283208463504,144
Punjab,State,India,IN,31.2686959993805,75.37963792614217,144
Rajasthan,State,India,IN,26.57420002823174,73.45923954272709,396
Sikkim,State,India,IN,27.48699436899677,88.46569531961194,45
Sikkim,State,India,IN,27.724167218846866,88.46666256651744,45
Tamil Nadu,State,India,IN,13.465898172381982,80.21664608556993,25
Tamil Nadu,State,India,IN,10.095523554691482,78.26068327412452,224
Tamil Nadu,State,India,IN,11.505582544215319,78.27020208311563,224
Telangana,State,India,IN,17.86008566332546,79.3769710606229,227
Tripura,State,India,IN,23.484823147369287,91.74092068022227,60
Tripura,State,India,IN,23.991189512672324,91.74319156229234,60
Uttar Pradesh,State,India,IN,27.095784053016555,80.74019168052412,363
Uttarakhand,State,India,IN,30.08450008682337,79.14935528814402,153
West Bengal,State,India,IN,23.34227048036191,87.78850276835014,201
West Bengal,State,India,IN,25.39331286842224,87.82041377093528,201
