Name,Type,Country,Code,Latitude,Longitude,Radius
Eastern Cape,Province,South Africa,ZA,-32.0856682990388,25.214636055241222,234
Eastern Cape,Province,South Africa,ZA,-32.0856682990388,27.71548250555002,234
Free State,Province,South Africa,ZA,-28.662311344380928,26.63822923095557,224
Free State,Province,South Africa,ZA,-28.662311344380928,27.493520875856216,224
Gauteng,Province,South Africa,ZA,-26.036002897277427,28.1348812774871,98
KwaZulu-Natal,Province,South Africa,ZA,-29.25963134882007,30.928509052528476,200
KwaZulu-Natal,Province,South Africa,ZA,-28.593858705007392,30.91541631044351,200
Limpopo,Province,South Africa,ZA,-23.763650991347607,28.202817947338108,183
Limpopo,Province,South Africa,ZA,-23.763650991347607,30.088556259205138,183
Mpumalanga,Province,South Africa,ZA,-25.751545844570952,30.16572061243348,193
North West,Province,South Africa,ZA,-26.362070833547975,24.562799376118992,193
North West,Province,South Africa,ZA,-26.362070833547975,26.36458023203534,193
Northern Cape,Province,South Africa,ZA,-28.77645741328095,21.102437581105633,454
Western Cape,Province,South Africa,ZA,-32.60594932966262,20.368826309578242,245
Western Cape,Province,South Africa,ZA,-32.60594932966262,21.612056335075085,245
