Interest,Category,Datamuse Nouns,Datamuse Verbs,Datamuse Adjectives,ConceptNet Nouns,ConceptNet Verbs,ConceptNet Adjectives
ios development,iphone,"ipad,dev,imac,beta,browsers,shareware,developer,innovation,java,concurrency,growth,commercialization,developing,darwinism,expansions,infrastructure,implementation,cyon,design,creation,artificial intelligence,developments,enhancement,versions,integration,update,expansion,enterprise,browse,unix,adoption,version,evolution,innovations,improvements,finalization,evolutionism,updating,releases,endoderm,advancement,dedifferentiation,abiogenesis,generation,commercialisation,gastrulation,differentiation,convergence,generic drug,industrialization,arcology,revision,democratization,infill,computer,capabilities,licensing,apple,release,construction,framework,enterprises,germination,settings,bionics,discovery,cultivation,exploration,layout,revisions,chordate,cobol,biopiracy,infancy,initiatives,creativity,business,architecture,capability,future,angiogenesis,leveraging,management,formulation,building,translation,leukodystrophy,completion,introduction,designing,lag,acne,routers,intensification,implantation,funding,macronutrient,delivery,improvement,entrepreneurship","update,browse,releases,innovating,develop,licensing,release,creating,build,accelerate,evolve,grow,incubate,create,invest,enhancing,fertilize,germinate,develops,hatch,expand,ferment,delay,blossom,cultivate,formulating,achieving,enhance,breed,introduce,managing,change,subtitled,improve,flourish,retrofit,introducing,delaying,arc,gain,differentiate,define,manage,continue,formulate,checking,foment,chuff,foster,foresee,feed,flatline,extending,check,influence,become,make,initiate,derive,becomes,retrofitted,establishing,follow,gon,manages,advance,duplicate,elaborating,finalize,digest,conserve,degenerate,boost,administering,correlate,erupt,determining,knotting,fixate,choke,dawdle,fixated,help,abort,covers,extend,arrest,aim,freeze,establish,civilize,educate,cover,converge,descant,conflate,exercise,cruising,conduct,knock","beta,developing,evolutionary,economic,accelerating,innovating,conceptual,generic,innovative,developed,functional,developmental,developable,chordate,urban,future,designing,enhanced,original,genetical,integrated,expanding,revised,determinate,linear,industrial,fully fledged,immature,administrative,catalan,darwinian,archean,cultural,improving,constructive,expanded,agricultural,latest,improved,growing,hydroelectric,differentiated,epidemic,antitrust,delayed,important,civilised,autonomous,historical,flourishing,advanced,adolescent,het,bric,done,designed,advancing,dormant,fertile,germinal,hyaline,diachronic,longitudinal,german,foster,electronic,alternative,bisexual,downstream,changing,fostered,genital,normal,greater,chiral,chromogenic,epochal,crazy,derived,antinuclear,anal,medial,good,attic,blighted,etiolated,continuing,duplicate,choreographic,lower,contained,cretaceous,encouraging,above,degenerate,bad,formative,backward,civilized,celluloid",,,
digital jobs,education,"job,technology,sector,print,advertising,business,networking,computing,computer,photography,online,telecommuting,work,census,retailing,advancement,printer,library,informatics,retail,desktop,librarian,analogue,graphics,access,population,subscription,imaging,microcomputer,metadata,teleconferencing,braille,ipad,featherbedding,multitasking,telecommute,revolution,academy,hardware,animatronics,agenda,union,redistribution,retouching,degree,program,data,works,typist,gigabyte,generation,media,econometrics,age,multiprocessing,indexing,workstation,blogging,dvd,disk,stations,upgrading,image,parallax,transistor,multiplexer,auditing,intranet,text,pda,legacy,teletext,office,cobol,processing,coprocessor,email,bionics,agency,auto,export,tasks,film,background,tens,upgrade,helpdesk,humanism,input,hypertext,middle,writing,aol,digerati,labour,turnkey,ages,soldering,index,bevel gear","networking,work,prosper,multitasking,telecommute,retouching,decentralize,blogging,upgrading,monetize,auditing,catch up with,upgrade,retouch,bewail,hardwired,thrive,retrofit,colorize,address,bridging,divide,indexed,orienteering,argue,mean,addressing,flourish,subscribe,translate,touch,backspace,aim,orientate,adopt,save,filtering,move,lurch,pass,register,orient,freeze,moves,intersect,fix,interpolate,coordinate,machined,cover,zoom,aiming,link,show,retrofitted,reverse,guesstimate,make up,bridged,lie,switch,advance,use,yield,scan,install,segregate,set,unsubscribe,distract,covers,siting,join,open,upgraded,scratch,returns,linking,kiss,teleport,act,administrate,hold,hit,opine,slide,disengage,tie,fetch,monitor,drop,chat,circumscribe,pathfinding,amend,run,execute,pick,rammed,initialize","online,electronic,interactive,retail,oriented,thriving,tactile,flourishing,auditing,teletext,prospering,decentralized,middle,hardwired,direct,desirable,indexed,analytic,mean,indirect,numeric,manual,equal,subscribed,black,fair,segregated,downstream,abusive,orienting,crude,upstream,advancing,simplex,thousand,acute,northern,ranking,machined,inline,convex,optimum,binary,actual,sensitive,east,google,tuned,reverse,spiraling,azimuthal,west,decimal,active,alien,round,fiducial,processed,peripheral,boolean,tenth,close,unsubscribe,bionic,saved,polar,open,nice,spiral,directing,punctual,rearward,seventieth,circumscribed,ranked,manifold,impregnable,subject,pathfinding,reversed,peak,rough,registered,pivotal,absolute,equidistant,punishing,above,rotary,alternate,eighteenth,overloaded,shaven,alaskan,circular,touched,fabled,terminal,seventeenth,potential",,,
Microservice,Microservice,,,,"communicate,complex,component,independent,process,simple",,
wine,alcohol,"alcohol,liquor,beer,booze,drink,chardonnay,vino,pinot,merlot,liquors,absinthe,brandy,vodka,drinking,drinks,whiskey,cabernet,drinkers,winery,riesling,liqueur,zinfandel,tequila,brandies,grappa,prosecco,grape,champagnes,winemaker,beverage,tipples,chianti,liqueurs,beverages,vintners,tripel,libations,bourbon,malt,sherry,cognac,whiskeys,beaujolais,winemaking,barbera,grapes,viognier,sangria,ale,malbec,shiraz,syrah,tasting,drunk,moscato,cider,cava,vintages,amontillado,libation,lambrusco,liebfraumilch,sauvignon,armagnac,chablis,microbrew,vintner,rum,mead,spumante,rioja,grenache,champagne,muscadet,yquem,zin,retsina,brew,sauterne,oenological,malvasia,oenology,viniculture,winegrowing,bottle,oenophile,flagons,cocktails,tobacco,vinification,malolactic,drunkenness,bordeaux,vermouth,muscat,sauternes,gin,valpolicella,madeira,mezcal","drink,drinking,drinks,tasting,drunk,bottle,intoxicated,drank,quaff,bottled,bottling,fermented,sip,drunken,dine,imbibed,consumed,intoxicating,fermenting,taste,brewed,sipping,quaffed,adulterated,tasted,sips,decanted,sipped,distilled,consuming,tastes,chilled,drugged,ferment,consume,cooking,pours,indulge,uncorked,sparkling,partake,plied,flavored,smelling,aged,smells,forbidden,abstain,consecrated,pour,smell,smelled,cup,blend,mixing,imported,marinated,sampled,refilled,pouring,spilled,addicted,spilling,spoiled,poured,gulping,indulged,spilt,flowed,enjoying,gulped,foaming,blended,cool,boiled,serving,cooked,sweetened,steeped,soaked,dilute,spill,drown,abstained,poisoned,served,ordering,soak,wash,watered,sell,mixed,beeswing,buying,swallow,mulled,import,mix,bubbling,ordered","drink,brandy,grape,sherry,alcoholic,drunk,varietal,nonalcoholic,unfermented,fruity,drinkable,brut,tannic,bottled,bubbly,fermented,burgundian,blueberry,fizzy,sweetish,honey,pomegranate,abstemious,aromatic,medicinal,sacramental,flavorful,scuppernong,ruby,delicious,chilled,corked,spicy,vinegary,tonic,drugged,kosher,untasted,vintage,blackberry,ammoniac,sugared,tart,rice,currant,iced,eucharistic,elderberry,franconian,unfortified,perfumed,watery,astringent,hearty,sparkling,domestic,fragrant,bolognese,bootleg,mellow,banana,unmixed,tasty,aged,resinous,medicated,earthy,homemade,consecrated,sour,gentile,burgundy,tawny,buttery,pungent,red,refreshing,racy,syrupy,dry,sweeter,sweet,dandelion,premium,luscious,poisonous,stale,corky,cooler,heady,unadulterated,mulberry,unconsecrated,complimentary,spilled,fine,effervescent,opulent,ripe,spoiled","grapes,alcohol,drink,grape,alcoholic,fermented,red,beverage,juice,fermented grapes,grape,grape juice,white,alcoholic beverage,alcoholic drink,imperial,jeroboam,merlot,wine cellar,wine glass,winery,wineskin,red white,cellar,grape alcohol,cork,fermented grape,grape drink,a beverage,an alcoholic beverage,an alcoholic drink,altar wine,Bordeaux,Burgundy,California wine,Cotes de Provence,dessert wine,Dubonnet,generic wine,jug wine,macon,mulled wine,plonk,retsina,Rhone wine,table wine,Tokay,varietal wine,vermouth,vintage,fermented grape juice,alcohol,dark red,blush wine,burgundy wine,champagne,champagne,dry wine,fortified wine,french wine,full bodied wine,high tannin wine,italian wine,light bodied wine,low tannin wine,medium bodied wine,medium tannin wine,moselle,off dry wine,red wine,sparkling wine,sweet wine,white wine,a drink containing alcohol,a food,an ingredient for many sauces,not Windows Emulation,a poison,A grape,alcohol,vino,wine-colored,wine-coloured,apple wine,fruit wine,wine bottle,wineberry,winegrape,winemaking,winemerchant,winemonger,winepress,winesop,wineful,wine tasting,winish,winy,fermented juice,fermented juice of grapes,drink of the gods,fermented juice of a fruit,fermented juice of a fruit product,fruit of civilization","Drinking,getting drunk,get drunk,a cellar,a decanter,a flask,setting a cup on the table,a wine cellar,drink,drinkin,enhancing the taste of food,get a little drunk,Making vinegar,relaxing,Selling,social drinking,Storing,age well,age over time,age with time,age in a wooden cask,age to perfection,age without losing taste,fill a glass,helps people relax,be an ingredient in a recipe,make you drunk,turn into vinegar,drink,regale,created from fermenting grapes,served on airplanes,aged in a cask,fermented,made from fermented grape juice,made from fermented grapes,poured into a decanter,served in communion,served in fancy restaurants,stored in a bottle","tasty,drunk,drunk by people,good for your heart,red or white,red, white or rose,fruit"
students,Education,"education,teachers,schools,curriculum,school,educations,educators,undergraduates,teaching,classrooms,graduates,academic,elementary,colleges,classroom,teacher,pupils,undergraduate,learners,faculty,kindergarten,coursework,tuition,schooling,electives,university,kindergarteners,universities,math,schoolchildren,baccalaureate,humanities,kindergartners,campuses,mathematics,matriculation,tutoring,college,preschool,tutors,classes,professors,shool,undergrads,graduate,graduation,gradate,algebra,grads,diplomas,semester,lecturers,courses,pretests,classmates,scholarships,intersession,academics,practicums,csus,parents,children,enrollment,exams,precalculus,pupil,graders,kids,syllabi,instruction,campus,arts,deans,principals,grades,youths,headmasters,tefl,instructors,faculties,postgraduates,lyceum,tutor,tutees,schoolwork,counselors,efts,highschool,seminary,seniors,institutes,preschoolers,cadets,programs,alumni,coeducation,biology,applicants,adolescents,learner","teaching,tutoring,graduate,teach,graduating,enrolled,enroll,taught,invigilate,educating,enrolling,nursing,studying,graduated,majoring,educate,attend,training,attending,learn,study,coed,empower,motivate,hazing,train,expelled,desegregate,recruiting,ragging,surveyed,participate,cramming,accredit,participating,recruit,prepare,encouraged,engage,trained,participated,instruct,helping,need,master,cram,admit,get,practice,score,attract,qualified,catalyze,interact,spoonfeed,attracting,knowing,admitted,engaging,develop,exercise,answer,preparing,assisting,mastered,benefit,requiring,invite,interested,divide,prepares,assist,recruited,mock,yell,act,honor,ask,require,mooting,declaim,bring,ventilate,see,open,bound,restrict,interviewed,pack,gather,entering,sit,instructed,charging,pounded,scored,accelerate,with,call,shift","elementary,undergraduate,kindergarten,academically,university,premedical,graduate,postgraduate,highschool,seminary,enrolled,doctoral,tertiary,grad,secondary,grade,disadvantaged,extramural,underrepresented,class,mainstreamed,public,parochial,bilingual,med,proficient,poorer,dyslexic,needy,dental,underprepared,academical,medical,tutored,nontraditional,postdoctoral,posttest,migrant,monolingual,veterinary,junior,freshman,deaf,young,accredited,coed,preparatory,gifted,advantaged,nonwhite,preregistration,tutorial,nonresident,collegiate,residential,brightest,parttime,immigrant,rabbinical,disabled,unmotivated,meritorious,juvenile,indigent,resident,hispanic,handicapped,unprepared,primary,practicing,harijan,motivated,senior,hmong,female,younger,deserving,incoming,malay,parietal,caucasian,male,collegial,malaysian,muslim,qualified,preppy,tardy,foreign,black,underage,undecided,disruptive,advanced,disaffected,required,mediocre,brighter,older,rhetorical","class,school,dormitory,test,concession,dormcest,facebook,floorcest,grade inflation,gyp,student,sweeper,college,learn,desk,party,note,teacher,failing,writing,auditorium,learning,undergraduate,gardening is to tomatoes as teaching,people who seek an education,taught subjects,to go to class,a notebook,pets,to read history books,plural form of the word student","attending class,learning about the world,receiving a degree,using a computer,acting in a play,answering questions,a classroom chair,committing to memory,debating politics,learning about science,learning about a subject,a pencil sharpener,taking final exams,taking a midterm,listen to their teacher,ask questions,doubt teachers,fail tests,master subjects,read books,study math,understand lessons,begin a test,fail classes,fail exams,study,study books,study for tests,study their lessons,add numbers to other numbers,advance to a new grade,amount to something,arrive late to class,attend classes anytime during the day,better their comprehension,better their minds,busy a teacher,catch up with extra work,complete scentences,be cutting classes,discover an answer,dislike study,do well,duck assignments,be entering the classroom,experience education,fail if they do not study,fail math,fear that they will not succeed,further their education,gain qualifications,head a class,learn facts,leave when the bell rings,lie to teachers,master an artform,master math,need to be encouraged,play sport at school,please professors,practice piano,prepare to take exams,question a professor,read manuals,graded by their teachers,taught,taught by the educational system,taught in schools",
Language,Childhood,"vocabulary,dialect,grammar,slangs,conjugations,phonology,vernaculars,kirundi,orthography,children,prosody,idioms,chichewa,dialects,linguistics,learning,etymologies,fluency,bilingual,colloquialisms,diction,siouan,culture,alphabets,yucatec,vernacular,allophone,accent,cognates,ideograms,idiom,romansh,comprehension,patois,homophones,inuktitut,education,literacy,pidgin,archaisms,literature,diphthongs,gurmukhi,vocabularies,teaching,pronunciation,bisayan,alphabet,consonants,vulgarism,pinyin,verbs,cusswords,hiragana,phonemes,loanwords,phonetics,mathematics,wolof,algonquian,subtitles,tigrinya,dzongkha,romansch,pushto,sociolinguistic,pashto,katakana,vocab,bilingualism,quechuan,krio,plurals,poetry,papiamento,syntax,swahili,cantonese,bahasa,devanagari,meanings,punctuation,learners,lexis,langage,esperanto,pushtu,koine,translation,cushitic,swearwords,farsi,kiswahili,religion,pronounciation,metaphors,avestan,words,transliteration,teachers","learning,teaching,reading,taught,teach,mastering,programming,learn,learned,speaking,learns,spoken,coded,listening,written,comprehend,translating,speak,translated,couched,understand,converse,interpret,master,speaks,communicate,conveys,borrowed,mastered,enriched,echoes,spoke,translate,encoded,translates,learnt,structured,phrased,use,understands,formulating,act,communicated,sign,invent,communicates,required,clothed,acquiring,romancing,see,drift,uses,articulated,acquire,consign,employs,agglutinate,creolized,languaged,languaging","linguistic,siouan,yiddish,monolingual,algonquian,nonverbal,conversational,quechuan,colloquial,abusive,avestan,nilotic,nahuatl,amharic,genitive,austronesian,fortran,idiomatic,bantu,native,polyglot,aramaic,profane,ancestral,unintelligible,multilingual,metaphoric,vulgar,cognate,castilian,literary,propositional,english,oriya,poetic,creole,slavic,liturgical,gaulish,semitic,ruthenian,hypertext,poetical,plain,arabic,tonal,incomprehensible,gendered,ethiopic,anglophone,zapotec,scriptural,inflected,verbal,slavonic,romany,descriptive,gullah,universal,intelligible,sanskrit,stilted,runic,gestural,spoken,germanic,lingual,comprehensible,colorful,plural,javanese,expressive,evocative,coded,ambiguous,hindi,vedic,assamese,ibo,written,cinematic,archaic,semiotic,declarative,caucasian,referential,aramean,literal,flowery,figurative,everyday,arcane,cyrillic,malay,punjabi,barbarous,pictorial,marathi,hawaiian,abused","english,english,communication,french,spanish,spoken,word,sign,caml,hobson jobson,tower of babel,tongue,dialect,speaking,writing,linguistics,talking,speak,german,speech,english french,French,Spanish,German,English,Russian,Chinese,barrage,dead language,indigenous language,communication,faculty,lingua franca,metalanguage,native language,object language,polish,sign language,slanguage,source language,string of words,superstrate,swedish,usage,words,abstract language,Amharic,ancient greek,artificial language,cheyenne,class based language,COBOL,computer language,curly bracket language,domain specific language,dynamic language,english,fictional language,foreign language,human language,informal language,Italian,a means of communication,NOT everything,primitive long ago,a system of words,coding system,medium,Musical notation,Music,natural language,A word,lexis,vocabulary,a nation's culture,A ""noun"",An utterance might,linguistic process,lyric,speech,terminology,linguistic communication,speech,colanguage,counterlanguage,languagism,languagist,minilanguage,proto language,semilanguage","communication,communicate ideas,expressing one's self to another,express thoughts,make art,talk to somebody,teach children,expressed through the spoken word,filled with regional phrases,used in games","spoken or written,latin"
Dj Quik,Dj Quik,"djs,moby,alan,diff,techno,chica,cds,dio,turntable,mp,dell,sut,dl,retro,playlist,vinyl,tache,var,disc jockey,colour,lim,amp,jack,b2,amon,band,demo,disk jockey,anagram,fa,drool,drummer,sleaze,a1,d2,shout,a2,satin,tattoo,anagrams,vocalist,limerick,fleck,colouring,escutcheon,disc,henna,smut,headset,aa,color,dihydroxyacetone,bed,wax,bloods,ri,alpha,bib,throwdown,slime,brd,rpm,tar,slat,rub,tiddlywinks,ceo,singer,stainer,splash,spin,ray,movie,methylene blue,blur,rhodamine,something,blob,tatch,jockey,tint,ink,ht,black,osmium,grease,player,sweat,gentian violet,ring,spatter,gammer,eosin,tailing,mote,ballplayer,nestle,distain,brand,branding","drool,shout,tattooed,discolour,rub,splash,spin,blur,spatter,nestle,distain,relive,touch,hatch,dips,paint,discolor,slurring,dip,blurring,flex,inked,befoul,mark,wash,slur,blend,clean,stain,blot,soak,hide,defiles,differentiate,ingrain,spat,furbish,blotting,defile,dishonor,besmirch,finish,spoil,tarnish,attainted,taint,fouling,contaminate,wipe,remove,darken,assoil,attaint,besmear,djing,ebonise,ebonize,imbrue,incarnadine,marbleize,slubber,smirch,smouch,smutch,tinct,removing","retro,jazzy,tattooed,unsusceptible,comic,dirty,marbleized,stainless,achromatic,unspotted,rhodamine,unsoiled,undefiled,unstained,black,cleanly,splotched,carmine,hematoxylin,molded,free,indelible,corrupt,ferruginous,polycarbonate,branded,immaculate,specked,bloody,rusted,splashed,inked,immunohistochemical,smudged,eerie,varnished,clean,ingrained,unimpeachable,stained,soaked,soiled,cytological,muddy,spotless,cleaned,offsetting,sullied,unvarnished,incapable,fouled,clear,clouded,touched,blemished,sanguine,freed,1,basophilic,cresyl,cytochemical,enterochromaffin,gram-negative,gram-positive,haematoxylin,histochemical,immunocytochemical,immunofluorescent,maculate,orcein,osmic,polychromatophilic,toluidine,foul,tainted,histological,cleared",,,
edtech,elearning,,,,,,
gardening,spring clean,"cleaning,gardeners,mulching,landscaping,rootbound,composting,yardwork,planting,flowerbeds,compost,outdoors,dandelions,pruning,horticultural,coppicing,horticulture,pachysandra,annuals,decorating,landscapers,gardners,wormery,perennials,mulch,houseplant,greenhouse,rosebushes,lawn,shrubs,primula,washing,ornamentals,bloom,dibble,birdfeeder,cooking,caladium,lilacs,fuchsias,beekeeping,flowerbed,botany,greenfly,heathers,rototiller,housekeeping,secateurs,laundry,gloxinia,mandevilla,hoeing,soapmaking,polyanthus,indoor,floristry,flower,fernery,bedding,camellias,moss,crabgrass,backyard,horticulturist,hydroponics,peonies,housecleaning,fall,weeder,diy,chickweed,nursery,bonsai,amaryllis,birding,candytuft,carpentry,manure,canning,succulents,prune,scrapbooking,crocus,woodworking,dahlias,liriope,ageratum,fertilizer,arboretum,alpines,cattleya,wildflower,arboriculture,alyssum,chores,plants,kitchen,viburnums,sweetpeas,geraniums,irrigation","clean,cleaning,landscaping,planting,decorating,washing,cooking,weeding,hoeing,fall,prune,woodworking,sewing,indoors,weed,organic,farming,hoed,knitting,swimming,painting,teach,fishing,love,loves,enjoy,caring,started,encouraged,doing,growing,reading,dig,practice,helping,hunting,hosed,out,landscape,shed,cultivated,spend,hiking,enjoying,devote,collecting,make,interested,flourished,loved,liked,freeze,walking,change,dancing,hopping,arranging,fouling,raising,taught,enjoyed,hate,does,did,likes,suited,hop,disrupt,like,devoted,playing,embellish,cumber,hated,delve,weaving,indulge,oink,lay,spent,train,begun,practiced,teaches,engaging,admit,become,goggle,enjoys,engage,ranging,riding,knotting,implement,practise,spinning,flied,lusting,grounded,ache","clean,horticultural,cleaned,outdoor,soilless,greenhouse,indoor,flower,hydroponic,botanical,organic,ornamental,lush,botanic,landscaped,overgrown,planted,lilac,vegetable,biodynamic,herbaceous,decorative,perennial,tropical,victorian,practical,brown,communal,busy,weeded,aromatic,ecological,earthy,hooked,informal,urban,changing,out,landscape,glad,intensive,light,homegrown,exotic,naturalistic,wild,alpine,picturesque,formal,annual,neuter,successful,suburban,happy,architectural,extensive,choked,normal,like,four,commercial,fouled,flat,amateur,miniature,designed,appropriate,alar,foul,common,oriental,mediocre,average,trained,ordinary,tipped,celtic,ended,chinese,english,japanese,edged,implemented,intervening,ina,net,fasciated,swidden,injudicious","fork over,gardenalia,horticulture,garden,gardenwork,green fingers,half standard,horticulture,hortology,lopper,mali,nongardening,potscaping,pruning shears,tobacco water,a necessary activity to grow tomatoes,flower gardening,a hobby,farming,landscaping,market gardening,an art form,easier with gardening tools,an enjoyable hobby for some people,a good way to make friends,one way to produce flowers,intelligent agent activity,taking care of,organic gardening,horticulture,act of caring for a garden,art of making plants grow,idea of helping plants grow,intentional cultivation of plants","a front yard,gaining more land,weeding the garden,done on property",satisfying
Disciple,Church Planting,"pastor,churches,catechist,pentecostal,preacher,missionary,discipling,priest,apostle,proselyte,teachings,homiletics,holiness,evangelism,worshiper,exhorter,episcopalian,apostles,saint,theologian,congregationalist,baptizer,baptist,gospel,believers,philippian,revelator,scripture,marcion,trinitarian,chrysostom,ephesian,exegete,nonbeliever,anglican,prophet,bhakti,vaishnavism,sinner,hassidism,acolyte,gnostics,presbyterian,protestant,pantheist,deist,follower,overcomer,swedenborgian,monotheist,evangelist,rinzai,divinity,monk,arminian,rabbi,fundamentalist,proclaimer,believer,backslider,spiritualist,theocrat,pope,devotee,unbeliever,pilgrim,sect,martyr,metta,pharisee,proselytizer,revolutionist,idolater,luciferian,jnana,ascetic,elder,heretic,valentinus,sanyasi,deity,sage,bodhidharma,unitarian,satanist,patriarch,bodhisattva,hearer,rationalist,rishi,meditator,antinomian,mystic,sakyamuni,confucianism,mentor,freethinker,satan,lutheran,god","discipled,discipling,ordained,prays,meditate,seeth,loving,befriending,professed,saith,confessed,imparted,betray,loved,avowed,rebuked,loves,doubting,entrusted,follow,betrayed,instruct,helping,dwells,learns,proclaimed,impart,behold,slay,obeys,instructs,realizes,bows,instructed,ben,testifying,asks,listens,guides,became,imparts,become,have,inquired,becoming,surrenders,trusted,testifies,attains,outrun,initiated,passed,initiates,distribute,urges,understands,warns,win,named,advises,handed,transmits,outran,transmitted","congregational,pentecostal,discipling,episcopalian,congregationalist,evangelical,anglican,devout,protestant,swedenborgian,pious,arminian,fundamentalist,christian,saintly,ascetic,monastic,unitarian,antinomian,lutheran,faithful,blessed,zoroastrian,reverent,humble,faithless,nonconformist,taoist,obedient,buddhist,rabbinical,worshipful,professed,fanatical,exoteric,absolutist,genevan,aristotelian,sikh,confucian,respectful,enlightened,aryan,gifted,dutiful,young,zealous,unfaithful,animist,wayward,noble,lay,dearest,humblest,lifelong,sufi,conformist,sincere,socratic,murid,avowed,fervent,eloquent,attentive,peripatetic,earnest,submissive,tibetan,inquisitive,devoted,inspired,beloved,learned,staunch,wise,ardent,diligent,meek,rastafarian,wagnerian,dear,rebellious,convinced,disciplined,true,shavian,longtime,thoroughgoing,slavish,cubist,unquestioning,influential,intimate,scholastic,maoist,outspoken,unworthy,avid,trustworthy,youthful","apostle,follower,disciples,acroamatic,apostle,arian,at feet of,bhakt,bug,chela,christophany,condisciple,consectator,cyrenaic,cyrenian,deshi,adherent,discipleship,disciplic,discipline,jesus,philosophy,absolutist,amoralist,animist,antinomian,Apostle,Aristotelean,Arminian,Bahai,clericalist,diabolist,follower,Donatist,Druse,dualist,fundamentalist,Hinayanist,Hussite,Ismailian,Jainist,Lamaist,Lutheran,Mahayanist,Mahdist,Manichean,Mithraist,Monophysite,Neoplatonist,Rasta,Shintoist,Sikh,Socinian,Tantrist,Taoist,totalitarian,Trinitarian,Unitarian,votary,Zen Buddhist,Zoroastrian,person,adherent",,
