Master Key,Dataset Key,Segment Type,Association Type,Channel,Hashtag,Handle,Post Content,Post Theme Type,Post Themes,Retweets,Replies,Likes,Post Time,Post Url,Handle Image Url
1,,KOL,Others,weibo,[],深夜徐老师,一辆宝马！mini cooper，送你们！转发并同时关注@深夜徐老师 和 @深夜种草的翠花  就可以啦～账号四周年啦，感谢水晶女孩们的一路陪伴！不知道你们喜欢啥颜色，那就图里的色号随便选吧@微博抽奖平台  6月28日开奖～（都说我微博中奖率高，那就让我看看谁是这个幸运鹅） ​ ​​​​...展开全文c,Neutral,['Freedom'],212067,413560,142220,2018-05-29 20:41,https://www.weibo.com/1770418834/GiVDBenpJ?from=page_1005051770418834_profile&wvr=6&mod=weibotime,https://tvax4.sinaimg.cn/crop.0.0.2048.2048.50/69867292ly8fjbyaniu2fj21kw1kwqah.jpg
1,,KOL,Others,weibo,"['#汤唯#', '#VogueFilm#']",VogueFilm,演员#汤唯# @胡歌 携手登上#VogueFilm#全新一期封面，共同演绎@刘雨霖YULIN 导演的《在所有想见的地方》，青梅竹马，离别多年，会失散？会重逢？想念与思索交织的故事，谱成一段初夏的乐章。点击置顶转发微博中的预售链接，更有线上珍藏版主角电影海报可供选择。 ​​​​,Neutral,['Freedom'],1681,661846,5200,2018-05-25 13:00,https://www.weibo.com/1655526104/GigUqAVAd?from=page_1002061655526104_profile&wvr=6&mod=weibotime,https://tvax1.sinaimg.cn/crop.2.0.1238.1238.50/62ad52d8ly8fm61f7s8u1j20yi0yejsa.jpg
1,,KOL,Others,weibo,['#芭姐开包记#'],时尚芭莎,林彦俊 尤长靖 陆定昊#芭姐开包记#  “emm...出去玩！”！芭姐与BANANA男孩的约会10S预告上线！初夏黄昏，在这一刻放下初为偶像的掌声喧嚣！一起郊游吧，你带着快乐，我带着你～@林彦俊 @尤长靖 @Trainee18-陆定昊 想知道他们包包里还有什么你从没见过的小秘密吗 ​​​​...展开全文c,Neutral,['Freedom'],17551,512912,10668,2018-05-30 20:45,https://www.weibo.com/1708288824/Gj55G9rSh?from=page_1002061708288824_profile&wvr=6&mod=weibotime,https://tvax1.sinaimg.cn/crop.0.0.1242.1242.50/65d26b38ly8frnczbi356j20yi0yidkv.jpg
1,,KOL,Others,weibo,[],时尚芭莎,林彦俊尤长靖陆定昊 今日份惊喜，第一组大片上线️芭姐与BANANA男孩的约会从雨露清晨到落日黄昏，从掌声与尖叫中抽离，寻找最初的自己。在宛如有精灵出没的田野草地，拥抱慵懒午后，这一刻让灵魂放空，跟我走好吗？与@林彦俊 @尤长靖 @Trainee18-陆定昊  一起郊游， ​​​​...展开全文c,Neutral,['Freedom'],10480,249598,8479,2018-05-31 15:25,https://www.weibo.com/1708288824/Gjcqsh2UO?from=page_1002061708288824_profile&wvr=6&mod=weibotime,https://tvax1.sinaimg.cn/crop.0.0.1242.1242.50/65d26b38ly8frnczbi356j20yi0yidkv.jpg
1,,KOL,Others,weibo,[],WeLens,跟你想到一起啦～❤️ ​​​​,Neutral,[],16260,59872,111327,2018-05-30 14:53,https://www.weibo.com/1713053037/Gj2N8wVhc?from=page_1005051713053037_profile&wvr=6&mod=weibotime,https://tva3.sinaimg.cn/crop.8.0.114.114.50/661b1d6djw8enxhrwdb6nj203o03ot8i.jpg
1,,KOL,Others,weibo,[],特立不独行的喵咕酱,儿童节要到啦！当然要来宠爱你们~记得转发转发，同时关zhu我和@是邱邱不是球球揪一个人！图中全部都是你的！！承包你整个夏天的吃喝玩乐！将近3w块！！6.1就开！！让你过一个欧气满满的儿童节~@微博抽奖平台 ​​​​,Positive,['Freedom'],21561,117684,27314,2018-05-25 17:03,https://www.weibo.com/5901067067/Giiv3wPmQ?from=page_1005055901067067_profile&wvr=6&mod=weibotime,https://tva2.sinaimg.cn/crop.0.0.640.640.50/006rmh75jw8f5kmp0xdpzj30hs0hs0sv.jpg
1,,KOL,Others,weibo,['#张艺兴时尚芭莎#'],时尚芭莎,#张艺兴时尚芭莎# @努力努力再努力x 张艺兴音乐主题封面新鲜出炉！购买戳链接：预售 时尚芭莎杂志2018年6月下 封面 张艺兴 送大海报 在昏暗的灯光下，游走在安静与爆发的分界点。因为知道“努力努力再努力”没有止境，所以他更加专注自我，并且懂得比成熟更重要的是承担与承受。@小荔BAZAAR 摄影@陈漫ChenMan 总策划@左敏洁KT 造型 ​​​​...展开全文c,Neutral,['Freedom'],13385,119810,19197,2018-05-25 10:00,https://www.weibo.com/1708288824/GifJnmzJV?from=page_1002061708288824_profile&wvr=6&mod=weibotime,https://tvax1.sinaimg.cn/crop.0.0.1242.1242.50/65d26b38ly8frnczbi356j20yi0yidkv.jpg
1,,KOL,Others,weibo,['#张艺兴时尚芭莎#'],时尚芭莎,#张艺兴时尚芭莎# 本期张艺兴 @努力努力再努力x 内页大片火热上线！吾家少年初长成的模样，在昏暗的色调里展现出别样的魅力。听得了赞美，受得住诋毁，身处浮躁的世界里永远保持初心，从不用任何标签定义自己，靠努力证明实力，一路披荆斩棘，他值得所有最好的称赞。@小荔BAZAAR  @左敏洁KT  摄影 ​​​​...展开全文c,Neutral,['Freedom'],12060,109927,21011,2018-05-25 11:00,https://www.weibo.com/1708288824/Gig7JktPp?from=page_1002061708288824_profile&wvr=6&mod=weibotime,https://tvax1.sinaimg.cn/crop.0.0.1242.1242.50/65d26b38ly8frnczbi356j20yi0yidkv.jpg
1,,KOL,Others,weibo,['#张艺兴时尚芭莎#'],时尚芭莎,#张艺兴时尚芭莎# 张艺兴 @努力努力再努力x 创意视频正片上线！让我们与这迷雾里走来的少年共赴一场跨时空的音乐冒险！镜头里的他偶尔孩子气，偶尔很狂野；眼神里有一丝桀骜，但多出来的是一份沉稳；盛名光芒之下是他对音乐与梦想不变的初心！@小荔BAZAAR 总策划@左敏洁KT 视频策划@BAZAAR_Angela  ​​​​...展开全文c,Neutral,['Freedom'],7352,111005,15507,2018-05-25 14:12,https://www.weibo.com/1708288824/GihnR3Zyg?from=page_1002061708288824_profile&wvr=6&mod=weibotime,https://tvax1.sinaimg.cn/crop.0.0.1242.1242.50/65d26b38ly8frnczbi356j20yi0yidkv.jpg
3,,Brand,Brand,weibo,['#征服不设限#'],碧欧泉Biotherm,你能猜出他是谁吗？关注 @碧欧泉Biotherm  转发评论PO出你的答案，就有机会获得劲酷水润礼，与他一起#征服不设限# ​​​​,Neutral,['Freedom'],12237,105290,12481,2018-05-25 12:08,https://www.weibo.com/1745068231/GigzFbHsH?from=page_1006061745068231_profile&wvr=6&mod=weibotime,https://tvax3.sinaimg.cn/crop.2.4.241.241.50/6803a0c7ly8fpih668952j206y06yt8q.jpg
