Abu Dhabi,9041082,Abu Dhabi,United Arab Emirates
Ajman,9047096,Ajman,United Arab Emirates
Sharjah,9047099,Sharjah,United Arab Emirates
Alabama,21133,Alabama,United States
Alaska,21132,Alaska,United States
Arizona,21136,Arizona,United States
Arkansas,21135,Arkansas,United States
California,21137,California,United States
Colorado,21138,Colorado,United States
Connecticut,21139,Connecticut,United States
Delaware,21141,Delaware,United States
District of Columbia,21140,District of Columbia,United States
Florida,21142,Florida,United States
Georgia,21143,Georgia,United States
Hawaii,21144,Hawaii,United States
Idaho,21146,Idaho,United States
Illinois,21147,Illinois,United States
Indiana,21148,Indiana,United States
Iowa,21145,Iowa,United States
Kansas,21149,Kansas,United States
Kentucky,21150,Kentucky,United States
Louisiana,21151,Louisiana,United States
Maine,21154,Maine,United States
Maryland,21153,Maryland,United States
Massachusetts,21152,Massachusetts,United States
Michigan,21155,Michigan,United States
Minnesota,21156,Minnesota,United States
Mississippi,21158,Mississippi,United States
Missouri,21157,Missouri,United States
Montana,21159,Montana,United States
Nebraska,21162,Nebraska,United States
Nevada,21166,Nevada,United States
New Hampshire,21163,New Hampshire,United States
New Jersey,21164,New Jersey,United States
New Mexico,21165,New Mexico,United States
New York,21167,New York,United States
North Carolina,21160,North Carolina,United States
North Dakota,21161,North Dakota,United States
Ohio,21168,Ohio,United States
Oklahoma,21169,Oklahoma,United States
Oregon,21170,Oregon,United States
Pennsylvania,21171,Pennsylvania,United States
Rhode Island,21172,Rhode Island,United States
South Carolina,21173,South Carolina,United States
South Dakota,21174,South Dakota,United States
Tennessee,21175,Tennessee,United States
Texas,21176,Texas,United States
Utah,21177,Utah,United States
Vermont,21179,Vermont,United States
Virginia,21178,Virginia,United States
Washington,21180,Washington,United States
West Virginia,21183,West Virginia,United States
Wisconsin,21182,Wisconsin,United States
Wyoming,21184,Wyoming,United States
Alberta,20113,Alberta,Canada
British Columbia,20114,British Columbia,Canada
Manitoba,20115,Manitoba,Canada
New Brunswick,20116,New Brunswick,Canada
Newfoundland and Labrador,20117,Newfoundland and Labrador,Canada
Northwest Territories,20119,Northwest Territories,Canada
Nova Scotia,20118,Nova Scotia,Canada
Nunavut,20120,Nunavut,Canada
Ontario,20121,Ontario,Canada
Prince Edward Island,20122,Prince Edward Island,Canada
Quebec,20123,Quebec,Canada
Saskatchewan,20124,Saskatchewan,Canada
Andhra Pradesh,20453,Andhra Pradesh,India
Arunachal Pradesh,21289,Arunachal Pradesh,India
Assam,20454,Assam,India
Bihar,20455,Bihar,India
Chandigarh,21342,Chandigarh,India
Chhattisgarh,21334,Chhattisgarh,India
Dadra and Nagar Haveli,21343,Dadra and Nagar Haveli,India
Daman and Diu,21344,Daman and Diu,India
Goa,21268,Goa,India
Gujarat,20457,Gujarat,India
Haryana,20458,Haryana,India
Himachal Pradesh,21335,Himachal Pradesh,India
Jammu and Kashmir,20459,Jammu and Kashmir,India
Jharkhand,21336,Jharkhand,India
Karnataka,20460,Karnataka,India
Kerala,20461,Kerala,India
Lakshadweep,21345,Lakshadweep,India
Madhya Pradesh,20464,Madhya Pradesh,India
Maharashtra,20462,Maharashtra,India
Manipur,21337,Manipur,India
Meghalaya,20463,Meghalaya,India
Mizoram,21338,Mizoram,India
Nagaland,21339,Nagaland,India
Odisha,20465,Odisha,India
Puducherry,20467,Puducherry,India
Punjab,20466,Punjab,India
Punjab,9061357,Punjab,Pakistan
Rajasthan,20468,Rajasthan,India
Sikkim,21340,Sikkim,India
Tamil Nadu,20469,Tamil Nadu,India
Telangana,9061642,Telangana,India
Tripura,20470,Tripura,India
Uttar Pradesh,20471,Uttar Pradesh,India
Uttarakhand,21341,Uttarakhand,India
West Bengal,20472,West Bengal,India
England,20339,England,United Kingdom
