Abu Dhabi,United Arab Emirates,9041082,Abu Dhabi,United Arab Emirates
Ajman,United Arab Emirates,9047096,Ajman,United Arab Emirates
Dubay,United Arab Emirates,,,
Fujayrah,United Arab Emirates,,,
Neutral Zone,United Arab Emirates,,,
Ras Al Khaymah,United Arab Emirates,,,
Sharjah,United Arab Emirates,9047099,Sharjah,United Arab Emirates
Umm Al Qaywayn,United Arab Emirates,,,
Alabama,United States,21133,Alabama,United States
Alaska,United States,21132,Alaska,United States
Arizona,United States,21136,Arizona,United States
Arkansas,United States,21135,Arkansas,United States
California,United States,21137,California,United States
Colorado,United States,21138,Colorado,United States
Connecticut,United States,21139,Connecticut,United States
Delaware,United States,21141,Delaware,United States
District of Columbia,United States,21140,District of Columbia,United States
Florida,United States,21142,Florida,United States
Georgia,United States,21143,Georgia,United States
Hawaii,United States,21144,Hawaii,United States
Idaho,United States,21146,Idaho,United States
Illinois,United States,21147,Illinois,United States
Indiana,United States,21148,Indiana,United States
Iowa,United States,21145,Iowa,United States
Kansas,United States,21149,Kansas,United States
Kentucky,United States,21150,Kentucky,United States
Louisiana,United States,21151,Louisiana,United States
Maine,United States,21154,Maine,United States
Maryland,United States,21153,Maryland,United States
Massachusetts,United States,21152,Massachusetts,United States
Michigan,United States,21155,Michigan,United States
Minnesota,United States,21156,Minnesota,United States
Mississippi,United States,21158,Mississippi,United States
Missouri,United States,21157,Missouri,United States
Montana,United States,21159,Montana,United States
Nebraska,United States,21162,Nebraska,United States
Nevada,United States,21166,Nevada,United States
New Hampshire,United States,21163,New Hampshire,United States
New Jersey,United States,21164,New Jersey,United States
New Mexico,United States,21165,New Mexico,United States
New York,United States,21167,New York,United States
North Carolina,United States,21160,North Carolina,United States
North Dakota,United States,21161,North Dakota,United States
Ohio,United States,21168,Ohio,United States
Oklahoma,United States,21169,Oklahoma,United States
Oregon,United States,21170,Oregon,United States
Pennsylvania,United States,21171,Pennsylvania,United States
Rhode Island,United States,21172,Rhode Island,United States
South Carolina,United States,21173,South Carolina,United States
South Dakota,United States,21174,South Dakota,United States
Tennessee,United States,21175,Tennessee,United States
Texas,United States,21176,Texas,United States
Utah,United States,21177,Utah,United States
Vermont,United States,21179,Vermont,United States
Virginia,United States,21178,Virginia,United States
Washington,United States,21180,Washington,United States
West Virginia,United States,21183,West Virginia,United States
Wisconsin,United States,21182,Wisconsin,United States
Wyoming,United States,21184,Wyoming,United States
Alberta,Canada,20113,Alberta,Canada
British Columbia,Canada,20114,British Columbia,Canada
Manitoba,Canada,20115,Manitoba,Canada
New Brunswick,Canada,20116,New Brunswick,Canada
Newfoundland and Labrador,Canada,20117,Newfoundland and Labrador,Canada
Northwest Territories,Canada,20119,Northwest Territories,Canada
Nova Scotia,Canada,20118,Nova Scotia,Canada
Nunavut,Canada,20120,Nunavut,Canada
Ontario,Canada,20121,Ontario,Canada
Prince Edward Island,Canada,20122,Prince Edward Island,Canada
Quebec,Canada,20123,Quebec,Canada
Saskatchewan,Canada,20124,Saskatchewan,Canada
Yukon,Canada,,,
Andaman and Nicobar,India,,,
Andhra Pradesh,India,20453,Andhra Pradesh,India
Arunachal Pradesh,India,21289,Arunachal Pradesh,India
Assam,India,20454,Assam,India
Bihar,India,20455,Bihar,India
Chandigarh,India,21342,Chandigarh,India
Chhattisgarh,India,21334,Chhattisgarh,India
Dadra and Nagar Haveli,India,21343,Dadra and Nagar Haveli,India
Daman and Diu,India,21344,Daman and Diu,India
Goa,India,21268,Goa,India
Gujarat,India,20457,Gujarat,India
Haryana,India,20458,Haryana,India
Himachal Pradesh,India,21335,Himachal Pradesh,India
Jammu and Kashmir,India,20459,Jammu and Kashmir,India
Jharkhand,India,21336,Jharkhand,India
Karnataka,India,20460,Karnataka,India
Kerala,India,20461,Kerala,India
Lakshadweep,India,21345,Lakshadweep,India
Madhya Pradesh,India,20464,Madhya Pradesh,India
Maharashtra,India,20462,Maharashtra,India
Manipur,India,21337,Manipur,India
Meghalaya,India,20463,Meghalaya,India
Mizoram,India,21338,Mizoram,India
Nagaland,India,21339,Nagaland,India
NCT of Delhi,India,,,
Odisha,India,20465,Odisha,India
Puducherry,India,20467,Puducherry,India
Punjab,India,20466,Punjab,India
Punjab,India,9061357,Punjab,Pakistan
Rajasthan,India,20468,Rajasthan,India
Sikkim,India,21340,Sikkim,India
Tamil Nadu,India,20469,Tamil Nadu,India
Telangana,India,9061642,Telangana,India
Tripura,India,20470,Tripura,India
Uttar Pradesh,India,20471,Uttar Pradesh,India
Uttarakhand,India,21341,Uttarakhand,India
West Bengal,India,20472,West Bengal,India
England,United Kingdom,20339,England,United Kingdom
Northern Ireland,United Kingdom,20341,Northern Ireland,United Kingdom
Scotland,United Kingdom,20342,Scotland,United Kingdom
Wales,United Kingdom,20343,Wales,United Kingdom
Alsace,France,20311,Alsace,France
Aquitaine,France,20313,Aquitaine,France
Auvergne,France,20314,Auvergne,France
Ile-de-France,France,20321,Ile-de-France,France
Basse-Normandie,France,,,
Bourgogne,France,,,
Bretagne,France,,,
Centre,France,9070075,Centre,Cameroon
Champagne-Ardenne,France,20318,Champagne-Ardenne,France
Corse,France,,,
Franche-Comte,France,20320,Franche-Comte,France
Haute-Normandie,France,,,
Languedoc-Roussillon,France,20322,Languedoc-Roussillon,France
Limousin,France,20323,Limousin,France
Lorraine,France,20324,Lorraine,France
Midi-Pyrenees,France,20325,Midi-Pyrenees,France
Nord-Pas-de-Calais,France,20326,Nord-Pas-de-Calais,France
Pays de la Loire,France,20329,Pays de la Loire,France
Picardie,France,,,
Poitou-Charentes,France,20331,Poitou-Charentes,France
Provence-Alpes-Cote d'Azur,France,20332,Provence-Alpes-Cote d'Azur,France
Rhone-Alpes,France,20333,Rhone-Alpes,France
Baden-Wurttemberg,Germany,20228,Baden-Wurttemberg,Germany
Bayern,Germany,,,
Berlin,Germany,20226,Berlin,Germany
Brandenburg,Germany,20227,Brandenburg,Germany
Bremen,Germany,20230,Bremen,Germany
Hamburg,Germany,20232,Hamburg,Germany
Hessen,Germany,,,
Mecklenburg-Vorpommern,Germany,20233,Mecklenburg-Vorpommern,Germany
Niedersachsen,Germany,,,
Nordrhein-Westfalen,Germany,,,
Rheinland-Pfalz,Germany,,,
Saarland,Germany,20238,Saarland,Germany
Sachsen-Anhalt,Germany,,,
Sachsen,Germany,,,
Schleswig-Holstein,Germany,20237,Schleswig-Holstein,Germany
Thuringen,Germany,,,
Abruzzo,Italy,9053423,Abruzzo,Italy
Apulia,Italy,9053425,Apulia,Italy
Basilicata,Italy,9053426,Basilicata,Italy
Calabria,Italy,9053427,Calabria,Italy
Campania,Italy,9053428,Campania,Italy
Emilia-Romagna,Italy,9053429,Emilia-Romagna,Italy
Friuli-Venezia Giulia,Italy,9053430,Friuli-Venezia Giulia,Italy
Lazio,Italy,9053431,Lazio,Italy
Liguria,Italy,9053432,Liguria,Italy
Lombardia,Italy,,,
Marche,Italy,9053434,Marche,Italy
Molise,Italy,9053435,Molise,Italy
Piemonte,Italy,,,
Sardegna,Italy,,,
Sicily,Italy,9053438,Sicily,Italy
Toscana,Italy,,,
Trentino-Alto Adige,Italy,,,
Umbria,Italy,9053441,Umbria,Italy
Valle d'Aosta,Italy,,,
Veneto,Italy,9053442,Veneto,Italy
Adygey,Russia,,,
Altay,Russia,,,
Amur,Russia,,,
Arkhangel'sk,Russia,,,
Astrakhan',Russia,,,
Bashkortostan,Russia,,,
Belgorod,Russia,,,
Bryansk,Russia,,,
Buryat,Russia,,,
Chechnya,Russia,21347,Chechnya,Russia
Chelyabinsk,Russia,,,
Chukot,Russia,,,
Chuvash,Russia,,,
City of St. Petersburg,Russia,,,
Dagestan,Russia,,,
Gorno-Altay,Russia,,,
Ingush,Russia,,,
Irkutsk,Russia,,,
Ivanovo,Russia,,,
Kabardin-Balkar,Russia,,,
Kaliningrad,Russia,,,
Kalmyk,Russia,,,
Kaluga,Russia,,,
Kamchatka,Russia,,,
Karachay-Cherkess,Russia,,,
Karelia,Russia,,,
Kemerovo,Russia,,,
Khabarovsk,Russia,,,
Khakass,Russia,,,
Khanty-Mansiy,Russia,,,
Kirov,Russia,,,
Komi,Russia,,,
Kostroma,Russia,,,
Krasnodar,Russia,,,
Krasnoyarsk,Russia,,,
Kurgan,Russia,,,
Kursk,Russia,,,
Leningrad,Russia,,,
Lipetsk,Russia,,,
Maga Buryatdan,Russia,,,
