uuid,published,site,url,author,title,text,language
119d14a1840a39f2d8c8ee4bb2b32b36ca1bfe09,2018-03-23T06:32:00.000+03:00,indianexpress.com,http://omgili.com/ri/m1nCBNv_powd1Yb2vRs6mTxdm9hYUwO2jw1hyNMa3qMSFo0g0GyQ4lcNkqChl4pzW0CeMDxO8bgVptjGz5eQ.VJvnj16i1fT_tGuiQSZSobNRZrNBHug0cy.ux68MyxssLBQLx8NyGoGbdZy.Y8HMQ0Yqv449LwGukpSkOTSlOm7fnKG_a0e_T.dCF6Xhm8D,,Rajya Sabha Elections 2018 Kerala: LDF’s MP Veerendra Kumar set to win — all you need to know,"India Rajya Sabha Elections 2018 Kerala: LDF’s MP Veerendra Kumar set to win — all you need to know Rajya Sabha Elections 2018 Kerala: LDF’s MP Veerendra Kumar set to win — all you need to know The Kerala Assembly with its 140 members will vote for its one Rajya Sabha seat today it requires 71 votes to win By: Express Web Desk | New Delhi | Updated: March 23, 2018 1:29 pm Since LDF enoys a comfortable majority in the Assembly, its Rajya Sabha candidate, MP Veerendra Kumar, will sail through. (File Photo)
The Kerala Assembly will vote for its one Rajya Sabha seat on Friday. The candidate will require 71 votes to win the seat. Currently, the majority in the assembly is with the CPM-led alliance — Left Democratic Front — that has 90 seats. The LDF has fielded Janata Dal (United) state president M P Veerendra Kumar, who is up against Babu Prasad of the United Democratic Front (UDF)– the Congress-led coalition. 
Since LDF enoys a comfortable majority, its candidate will sail through. 
Veerandra Kumar had earlier resigned from his seat in December after Nitish Kumar joined the NDA. The Veerendra Kumar-led JD(U) also severed its ties with the UDF in Kerala. Veerendra Kumar had filed his nomination for the RS seat on March 12, he was accompanied by CM Pinarayi Vijayan and Revenue Minister E Chandrasekharan hinting at a possible coalition with the ruling LDF. The ruling party has 90 MLAs in the House while the UDF has 41 legislators. 
Click here for Live Updates on Rajya Sabha Elections 2018 
Kerala Congress (M) has decided to stay away from the election. BJP MLA O Rajagopal is also abstaining from the electoral process. 
Chief Minister Pinarayi Vijayan, Leader of the Opposition in the state Ramesh Chennithala, former chief minister Oommen Chandy, and state ministers were among those who have voted. 
Elections to the Rajya Sabha are scheduled to take place today. In the 245-member House, 58 seats are being contested today, while 33 candidates from 10 states have already been declared as elected unopposed on March 15. Counting of ballots will begin at 5 pm, the results will be announced shortly after that. To secure a win in this election, a candidate needs 37 first preference votes.",english
13eeb7f3c15ac8121881d44952a00b605b4235f1,2018-03-23T03:00:00.000+03:00,timesofindia.indiatimes.com,http://omgili.com/ri/DyQaNGXlfMpq8HEnNTp9633LOQohzWJQbtEF77zD0zBDEauHdefDlUQoV88UHY3DmozlDMv1dAqb3c3PmChkK3bbWqaMoFrAc9rMzJyOydgbwPc_9jIVq0V2m3VwAGgUWVbM_qX0Y6YJExD3w3sFie4U_ptnoorrXfa7ezWAJxvHAx2gZZRq8RwPnrrvurxToHuo51MQTNomwvneFbBO.w--,Laxmi Prasanna,water tankers: CM issues directive to officials ahead of possible water crisis ahead | Thiruvananthapuram News,"THIRUVANANTHAPURAM: In order to prevent a possible water shortage in the state, the government has begun taking a series of measures, including putting in place more effective ways of distribution.
Based on a directive from chief minister Pinarayi Vijayan to district collectors, the focus will be on GPS-fitted water tankers and setting up of water kiosks.
The government has also issued a directive to local selfgovernment (LSG) bodies to utilise the funds allotted to them to take measures to prevent a water crisis from hitting the state.
Accordingly, all panchayats, municipalities and corporations have been advised to make use of Rs 5.5 lakh, Rs 11 lakh and Rs 16.5 lakh each, respectively, till March-end.
Going ahead, from April 1 to May 31, Rs 11 lakh, Rs 15.5 lakh and Rs 22 lakh can be utilized by each of the panchayats, municipalities and corporations, respectively.
Water kiosks will be set up in regions which reported water crisis in previous years. Likewise, the GPS-based monitoring system of tankers will be put in place in all districts known for water shortage.
Local self-government officials have been asked to keep an eye on and track the system to ensure transparency in distribution of water and release of funds. The LSG heads would have to submit their reports in every two weeks to the district collector.
Based on a report from the Indian Meteorological Department (IMD) during last year’s northeast monsoon , seven districts in the state that received deficient rains are: Kannur, Kasaragod, Kozhikode, Malappuram, Palakkad, Thrissur and Wayanad. These districts are expected to face a bigger water crisis in the coming months, said officials of the Kerala Disaster Management Authority (KSDMA).
School textbooks to have content on water security measures: Lessons to sensitise students about the importance of water security would be included in school textbooks, education minister C Raveendranath told the assembly here on Thursday. The minister said the textbooks prescribed for Classes I to XII were undergoing content quality auditing.",english
acc4b941654badab9c8993a1052a5b5a5137d9d3,2018-03-23T09:37:00.000+03:00,www.deccanchronicle.com,http://omgili.com/ri/jHIAmI4hxg9Qb6m4ieU933VNDrmxMoS4vUPeEV6.A0.FPhGnvyRQsBGeFboB0Om91jp8Uh.GKDMB_TTuNFChO6W4FrRvSJUbYWJ97rEb.MCcA04haIeJX5uqKqGUyhOiS9WeVS2suA0lrBrhErk8Rw--,DECCAN CHRONICLE.,Kerala to link education with digital boom,"Participants at the ‘Experience zone’ at the summit venue on Thursday. (Photo: ARUN CHANDRABOSE) Kochi: Chief Minister Pinarayi Vijayan on Thursday said the government will take steps to link the state’s education sector to the digital revolution to ensure that the youth get skills relevant to the emerging economy. The government “would ensure that our high skilled work force gets world class opportunities here in Kerala itself,” he said, inaugurating #FUTURE, the two-day global digital summit organised by the government in Kochi.
The government is now working on adding another 10 million square feet to the IT parks and is ensuring last mile digital connectivity. “The government is committed to providing free Wi-Fi in at least a 1000 public spots every year, including parks and libraries, and we are connecting our offices and homes with a high speed optical fibre network,” the Chief Minister said, adding “Kerala is soon transforming into an information technology and knowledge-based society.”
Mr Vijayan, who credited the state’s achievements to a robust education system, made a pitch for further investment in the state saying it has a wide range of highly qualified and skilled human resources and the world class physical and digital infrastructure that can attract the emerging knowledge companies to Kerala. He also listed the Knowledge City in Thiruvananthapuram, the Maker Village in Kochi and the Mobility Hub in Kozhikode as the government’s new initiatives.
The chief minister claimed that the government is promoting start ups like never before with both technical and financial support. “We are also investing in skill delivery platforms, apart from ensuring last mile connectivity.” Chairman of Kerala’s High Power Committee on IT S.D. Shibulal, who welcomed the gathering, said the summit is the first step to think about the future of Kerala and India. HPIC member and convener of #FUTRE V.K. Mathews said the disruptions taking place globally also offered a lot of opportunities and challenges. Chief secretary Paul Antony and IT secretary M. Sivasankar also addressed the opening session. The chief secretary unveiled the knowledge report prepared by Ernst &Young in the backdrop of the event.",english
b7cc1a51ac724f3eeef50d77591055662459f4ce,2018-03-23T03:00:00.000+03:00,timesofindia.indiatimes.com,http://omgili.com/ri/DyQaNGXlfMpq8HEnNTp9633LOQohzWJQbtEF77zD0zBDEauHdefDlUQoV88UHY3DmozlDMv1dAoGfn2a9mkD6NoetUVfmhZPzUOFbwrecoLBbceqTa1lKMeufHAV5hVHnPlyDC2ta4hXT8yEUVo6GigSvS4N6gZAR0uLPfgLvfRZL3lAUb9iC_mNdqGUXyE0,timesofindia.indiatimes.com,Thiruvananthapuram district collector: Varkala land controversy: Collector told to conduct hearing | Thiruvananthapuram News,"THIRUVANANTHAPURAM: The land revenue commissioner has asked Thiruvananthapuram district collector to conduct a hearing on the decision taken by sub-collector who cancelled the takeover of 27 cents from a private individual.
Sub-collector Divya S Iyer’s act had sparked a controversy after Varkala MLA V Joy came out against the decision and petitioned chief minister Pinarayi Vijayan . The revenue department had stayed Iyer’s decision and asked the land revenue commissioner to carry out a probe.
The commissioner’s report to the revenue minister stated that the sub-collector has erred in the matter and it could be rectified by convening a hearing.
It is learnt that though the commissioner was critical on the decision taken by the subcollector, he did not recommend any action against her.
According to the complaint by Joy, Iyer arbitrarily cancelled the takeover of the land owned by the revenue department.
He also alleged that the move flouted established procedures and the decision was taken under political influence.
The 27 cents at Ayiroor in Varkala, along the Parippally-Varkala state highway, was earmarked for constructing a permanent building for Ayiroor police station, which currently functioning in rented premises.
Following the complaint, Iyer had reacted that there were legal remedies which they should seek instead of defamation stunts.
“A revision petition has to be filed before the land revenue commissioner which has been intimated,” she said.",english
24162c2b340ca9c16fd80b82a940618c84585188,2018-03-23T09:48:00.000+03:00,www.deccanchronicle.com,http://omgili.com/ri/jHIAmI4hxg9Qb6m4ieU933VNDrmxMoS4vUPeEV6.A0.FPhGnvyRQsBGeFboB0Om91jp8Uh.GKDMd377phw73GP8X.KULjVP.3Ds9p.S8475.HaEn1v6xXUqXlslI.tvpXxkRjwGVmUtzZh.w5aU91w--,DECCAN CHRONICLE.,First CNG fuel station opened at Kalamassery,"Chief Minister Pinarayi Vijayan launches first CNG fuel station at Kalamassery by watering saplings instead of lighting a traditional lamp on Thursday. IOC chief general Manager (Kerala) P.S Mony , transport minister A.K. Saseendran and Prof K.V Thomas, MP, are also seen. (Photo: SUNOJ NINAN MATHEW) Kochi: Indian Oil Corporation (IOC) will set up 25 Compressed Natural Gas (CNG) fuel stations in the central and northern parts of the state in the next two years while about two lakh households will get piped natural gas connections by the end of 2020. Making the clean fuel available, Chief Minister Pinarayi Vijayan on Thursday launched the state’s first CNG fuel station at the IOC’s retail fuel outlet at Kalamassery.
He also inaugurated virtually three more CNG refilling stations — at Container Road, Kalamassery, Pulinchodu (Opposite to KSRTC Garage), Aluva, and Maradu, Kundannur, at a function held at SCMS, School of Business, Cochin.
The state’s first CNG bus, operated by the Kerala State Road Transport Corporation (KSRTC), too started operation in the Vytilla-Vytilla circular route.
“CNG as a domestic and industrial fuel was introduced in Ernakulam in 2016. About 2500 households have been provided with PNG (Piped Natural Gas) connections in and around Kalamassery. We aim to provide PNG connection to two lakh houses in two years,” said S.K. Sharma, chairman of Indian Oil-Adani Gas Pvt Ltd (IOAGPL), tasked to supply PNG in Kochi. The chief minister also launched ‘Vipinam’, the green initiative under which vertical gardens and plant nurseries will be grown in IOC fuel outlets across the state. It also promotes the distribution of plants instead of bouquets during events. IOC will also set up an LNG-LCNG station at Anayara in Thiruvananthapuram by the end of the year for which the government has already allocated land.",english
f86044a1d4bc976117719ca09b1284e26b68288f,2018-03-23T09:35:00.000+03:00,www.deccanchronicle.com,http://omgili.com/ri/jHIAmI4hxg9Qb6m4ieU933VNDrmxMoS4vUPeEV6.A0.FPhGnvyRQsBGeFboB0Om91jp8Uh.GKDMUcsL3JhWREww3AVcPoLQkZvZghJRhzPqcOwX0k7b51d5g7uuvhh920JmVj2jE8Z8-,DECCAN CHRONICLE.,Need law to prevent data misuse,"IT secretary M. Sivasankar, High Power IT Committee (HPIC) member V. K. Mathews, chief secretary Paul Antony, chief minister Pinarayi Vijayan and HPIC chairman S. D. Shibulal during the inauguration of state's first Global Digital Summit, #FUTURE, in Kochi on Thursday. (Photo: ARUN CHANDRABOSE) Kochi: The urgent need for legislation to prevent data misuse and personal safety in transportation are some of the key themes that have emerged in the sessions held as part of the global digital summit #Future on Thursday. The panellists on Data: Oil of the Digital Future focused mainly on the enormous opportunity as well the threat factors in a data-based economy and lifestyle. Alok Ohrie president and managing director India Dell EMC said the very nature of the social media and the lack of restrictions on usage implied that it could not really be termed a “misuse” if the data is used for commercial purposes.
“An urgent reform of the law will safeguard the interest of the users,” he said, noting that Indians are particularly vulnerable because so many people are active social media users. Kris Gopalakrishnan, member, Kerala High Power IT Committee, was of the opinion that governments could not entirely evade responsibility on this issue, and legislation and regulations to stop data misuse needed to be a priority. Suku Nair, Director, SMU AT&T Centre for Virtualisation, Dallas, Texas, said a good part of the responsibility of safeguarding data lay with the users themselves. “You don’t leave your wallets or valuables lying around. The same kind of consideration needs to be given to data as well,” he said.
Sajan Pillai, CEO, UST Global, Kerala, said about big opportunities in the field of data, “We may have lost our chance with industry, but we will not miss the digital opportunities.” He added, IT industry was sorely in need of data processing professionals. Raw data, like oil, needs to be processed to make it usable, said Devadas Varma, founder and CEO, entrinsia Inc. Ramadas Pillai, president and CEO, Nuphoton Technologies, said state government has to look actively into easing the difficulties for companies in raising funds and growing here.
Customer-centric needs will power advancements in digitisation and technology in travel and transportation sector, and businesses will have to design their technologies around individualised user experience and safety, experts said. Christoph Mueller, chief digital and innovation officer - Emirates Group, who set the tone of the discussion said hyper-personalisation would be the new industry requirement marked user experience (UX) design, automated operations and enhanced safety.
""We will have completely new customer segments with 30 percent of passengers being active seniors who have retired with good incomes and are travelling the world; commuter profiles will change, and global migrants and a middle-class with massive purchasing power will drive the technology,” he said. Roland Schuetz, group CIO – Lufthansa Group, echoed the sentiments by stating that from the consumers' point of view, travel has to be as easy as possible and seamless, and technology may function behind the scenes.",english
21b94b1b3562621d10b2f399b8afe73efe12328e,2018-03-23T09:54:00.000+03:00,www.deccanchronicle.com,http://omgili.com/ri/jHIAmI4hxg9Qb6m4ieU933VNDrmxMoS4vUPeEV6.A0.FPhGnvyRQsBGeFboB0Om91jp8Uh.GKDOS5WVKJdp6Xy7GZMjDRFboR6Rp6gN1bWJcLLwKgJMuWfLGBmISIwhJKh6yVkAOkAoGXt41q_Vpac5vbqd318iT,DECCAN CHRONICLE.,It’s up to NHAI to decide: Kodiyeri Balakrishnan,"Kodiyeri Balakrishnan KANNUR: The state government will have no objection if the union government is ready to construct an elevated corridor at Keezhattoor to solve the issues raised by the agitators, according to CPM state secretary Kodiyeri Balakrishnan. ""It is up to the National Highway Authority of India to decide,"" he told reporters after paying floral tribute at the statue of the late CPM leader A.K. Gopalan in connection with the 'AKG commemoration day' hereon Thursday.
""It was not Pinarayi Vijayan or G. Sudhakaran who decided to construct the bypass through Keezhattoor, but the NHAI,"" he said and added that the state government's duty is to take over the land identified by the NHAI. He told the activists, ""don't think that wherever there is an issue you can convert the place into a Nandigram. If the bypass does not become a reality, then the same activists will say that there is no development in the CPM citadels. That is what happened in Tripura. Those alienated from the party due to misunderstanding on the issue should come back,"" he added.
He also cautioned the agitators against preventing development in the name of environment. ""If it is an attempt to topple the LDF government, the people will protect it,"" he said and added that the CPM will seek the public's support instead of creating anarchy.",english
3423c58e7cf5a44b0bd20dff9e1b689d2edeb7bf,2018-03-23T09:50:00.000+03:00,www.deccanchronicle.com,http://omgili.com/ri/jHIAmI4hxg9Qb6m4ieU933VNDrmxMoS4vUPeEV6.A0.FPhGnvyRQsBGeFboB0Om91jp8Uh.GKDNEg7y9gnL9h1h1uDbiaSaR2zLXG1wpj5yNKibgtvWTn8dGMRjSQLsFFPFj6peBtMS9qeRkQaElii5sS3OcXTMmYAiDF3rN4kjq0tRiXYtofQ--,DECCAN CHRONICLE.,Sustainable development is LDF govt’s policy: CM Pinarayi Vijayan,"Transport minister A.K. Saseendran exits KSRTC's first CNG bus after its maiden trip in Kochi on Thursday. (Photo: DC) Kochi: Stating that the LDF government’s policy is to ensure sustainable development, Chief Minister Pinarayi Vijayan on Thursday, however, charged that a section of society is still against development projects and wanted no progress to come despite changing times. His comments assume significance in the wake of the ongoing stir in Keezhattur village in Kannur district where 'Vayalkilikal', a residents' collective, is opposing reclamation of paddy fields for the construction of a National Highway bypass.
“The government wants to implement all those developments projects which won’t affect environment for ensuring a better living condition to the future generation. “However, certain sections are out with protests. They are bent upon creating hurdles to development projects which are need of the hour,” Vijayan said, while launching the state’s first CNG fuel outlet here. The chief minister pointed out that the vehicle population in the state is growing at an alarming rate and the road couldn’t handle the traffic volume, resulting in heavy traffic congestion in towns and cities. “The current state of roads and the public transportation should improve drastically if we wanted any solution,” he said.
Meanwhile, Pinarayi Vijayan said the government would take all steps for propping up the loss-making Kerala State Road Transport Corporation, including rolling out more CNG buses. Transport Minister A K Saseendran too said the government would roll out 1000 CNG buses in the first phase, the funds for which are already allocated in the budget. “A director board meet of the KSRTC on Monday will decide on purchase of 900 new buses. It will also include CNG buses. Converting to the green fuel will not only cut the operating expense but also will help in operational efficiency,” he said.
The RTC will also roll out CNG buses for operating superclass buses once the Green Tribunal issues verdict regarding conversion to clean fuel in big cities. The first CNG bus started operating in the Vytilla-Vytilla circular route from Thursday. The bus, however, will be with Aluva depot. It goes to Vytilla daily at 6.10 am and returns to the depot at 5.30 pm",english
3ebc624dda8656fa8e3374ce1351581ddf4950f3,2018-03-23T06:56:00.000+03:00,timesofindia.indiatimes.com,http://omgili.com/ri/.wHSUbtEfZT0ll_t8WSZjwNKYkvzDCzyCzCzJT_rRcWOO70yURRbuTI5H6luhy227JgwCXScQWgoyRD4T.VNRIeLN9cpWbxDHygdrzSmaDxnPuZgcXGz3kqJ3lh2wrrbrGUZLwfa6AJ9hXuq9h6jhsCuGDwWBIIrzZrrzgpYBbMa2ZvcGkRgVbDW38XG3aQS_87bBzBMW36Yn8LmrzVRbQ--,,CM issues directive to officials ahead of possible water crisis ahead,"THIRUVANANTHAPURAM: In order to prevent a possible water shortage in the state, the government has begun taking a series of measures, including putting in place more effective ways of distribution. 
Based on a directive from chief minister Pinarayi Vijayan to district collectors, the focus will be on GPS-fitted water tankers and setting up of water kiosks. 


The government has also issued a directive to local selfgovernment (LSG) bodies to utilise the funds allotted to them to take measures to prevent a water crisis from hitting the state. 

Accordingly, all panchayats, municipalities and corporations have been advised to make use of Rs 5.5 lakh, Rs 11 lakh and Rs 16.5 lakh each, respectively, till March-end. 

Going ahead, from April 1 to May 31, Rs 11 lakh, Rs 15.5 lakh and Rs 22 lakh can be utilized by each of the panchayats, municipalities and corporations, respectively. 

Water kiosks will be set up in regions which reported water crisis in previous years. Likewise, the GPS-based monitoring system of tankers will be put in place in all districts known for water shortage. 

Local self-government officials have been asked to keep an eye on and track the system to ensure transparency in distribution of water and release of funds. The LSG heads would have to submit their reports in every two weeks to the district collector. 

Based on a report from the Indian Meteorological Department (IMD) during last year’s northeast monsoon , seven districts in the state that received deficient rains are: Kannur, Kasaragod, Kozhikode, Malappuram, Palakkad, Thrissur and Wayanad. These districts are expected to face a bigger water crisis in the coming months, said officials of the Kerala Disaster Management Authority (KSDMA). 

School textbooks to have content on water security measures: Lessons to sensitise students about the importance of water security would be included in school textbooks, education minister C Raveendranath told the assembly here on Thursday. The minister said the textbooks prescribed for Classes I to XII were undergoing content quality auditing.",english
7fc1a90f433a88ad001b752b6bff7ba551b6f1bd,2018-03-23T06:23:00.000+03:00,timesofindia.indiatimes.com,http://omgili.com/ri/.wHSUbtEfZT0ll_t8WSZjwNKYkvzDCzyCzCzJT_rRcWOO70yURRbuTI5H6luhy227JgwCXScQWi8s2S.NArTG0u.EggE.JjbXtvtZES4P.JPNsdX8ncJMyI7Nt5NDtUi6piCsWRbykQL1vYZmjCiyrzLEkgVL6UjNNLJ1IVsJVW_Pawsvt0RyaH5gFaB1qm8,,Varkala land controversy: Collector told to conduct hearing,"THIRUVANANTHAPURAM: The land revenue commissioner has asked Thiruvananthapuram district collector to conduct a hearing on the decision taken by sub-collector who cancelled the takeover of 27 cents from a private individual. 

Sub-collector Divya S Iyer’s act had sparked a controversy after Varkala MLA V Joy came out against the decision and petitioned chief minister Pinarayi Vijayan . The revenue department had stayed Iyer’s decision and asked the land revenue commissioner to carry out a probe. 

The commissioner’s report to the revenue minister stated that the sub-collector has erred in the matter and it could be rectified by convening a hearing. 

It is learnt that though the commissioner was critical on the decision taken by the subcollector, he did not recommend any action against her. 

According to the complaint by Joy, Iyer arbitrarily cancelled the takeover of the land owned by the revenue department. 

He also alleged that the move flouted established procedures and the decision was taken under political influence. 

The 27 cents at Ayiroor in Varkala, along the Parippally-Varkala state highway, was earmarked for constructing a permanent building for Ayiroor police station, which currently functioning in rented premises. 

Following the complaint, Iyer had reacted that there were legal remedies which they should seek instead of defamation stunts. 

“A revision petition has to be filed before the land revenue commissioner which has been intimated,” she said.",english
